CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
499;9;11291;499;9;11293
499;9;11293;499;9;11291
499;9;11294;499;9;11572
499;9;11572;499;9;11294
499;9;45403;499;9;45459
499;9;45459;499;9;46567
499;9;46567;499;9;45403
499;9;46414;499;9;46415
499;9;46415;499;9;46460
499;9;46460;499;9;46414
499;9;46461;499;9;46566
499;9;46566;499;9;46461
499;9;45408;499;9;46462
499;9;46462;499;9;45408
499;9;716;499;9;2022
499;9;2022;499;9;716
499;9;448;499;9;1167
499;9;1167;499;9;2024
499;9;2024;499;9;448
499;9;36962;499;9;36964
499;9;36964;499;9;36962
499;9;36955;499;9;36965
499;9;36965;499;9;36955
499;9;45462;499;9;45465
499;9;45465;499;9;46247
499;9;46247;499;9;45462
499;9;45846;499;9;46278
499;9;46278;499;9;45846
499;9;45845;499;9;45847
499;9;45847;499;9;45845
499;9;45402;499;9;45429
499;9;45429;499;9;45431
499;9;45431;499;9;45402
499;9;45710;499;9;46179
499;9;46179;499;9;45710
499;9;45460;499;9;45883
499;9;45883;499;9;45460
499;9;45461;499;9;45716
499;9;45716;499;9;45461
499;9;45594;499;9;46292
499;9;46292;499;9;45594
499;9;45533;499;9;46293
499;9;46293;499;9;46421
499;9;46421;499;9;45533
499;9;747;499;9;749
499;9;749;499;9;1399
499;9;1399;499;9;747
499;9;750;499;9;780
499;9;780;499;9;881
499;9;881;499;9;750
499;9;752;499;9;754
499;9;754;499;9;867
499;9;867;499;9;752
499;9;1045;499;9;1115
499;9;1115;499;9;1045
499;9;1318;499;9;2074
499;9;2074;499;9;1318
499;9;1046;499;9;1153
499;9;1153;499;9;1169
499;9;1169;499;9;1046
499;9;1279;499;9;1901
499;9;1901;499;9;1279
499;9;715;499;9;1559
499;9;1559;499;9;1676
499;9;1676;499;9;715
499;9;713;499;9;925
499;9;925;499;9;713
499;9;1280;499;9;1426
499;9;1426;499;9;1280
499;9;1101;499;9;1114
499;9;1114;499;9;1129
499;9;1129;499;9;1101
499;9;1314;499;9;2075
499;9;2075;499;9;1314
499;9;1170;499;9;1178
499;9;1178;499;9;1317
499;9;1317;499;9;1170
499;9;447;499;9;1179
499;9;1179;499;9;447
499;9;7096;499;9;9495
499;9;9495;499;9;7096
499;9;9496;499;9;9498
499;9;9498;499;9;9496
499;9;51072;499;9;57052
499;9;57052;499;9;51072
499;9;6091;499;9;6119
499;9;6119;499;9;6091
499;9;6054;499;9;6252
499;9;6252;499;9;6054
499;9;6057;499;9;6068
499;9;6068;499;9;6057
499;9;6058;499;9;7079
499;9;7079;499;9;6058
499;9;6060;499;9;9499
499;9;9499;499;9;6060
499;9;6061;499;9;6236
499;9;6236;499;9;6061
499;9;6134;499;9;6137
499;9;6137;499;9;6134
499;9;6078;499;9;6097
499;9;6097;499;9;9759
499;9;9759;499;9;6078
499;9;31150;499;9;31153
499;9;31153;499;9;31150
499;9;30964;499;9;30971
499;9;30971;499;9;31159
499;9;31159;499;9;30964
499;9;30890;499;9;30966
499;9;30966;499;9;31189
499;9;31189;499;9;30890
499;9;30898;499;9;30967
499;9;30967;499;9;31190
499;9;31190;499;9;30898
499;9;30298;499;9;31173
499;9;31173;499;9;31191
499;9;31191;499;9;30298
499;9;30299;499;9;30300
499;9;30300;499;9;30403
499;9;30403;499;9;31216
499;9;31216;499;9;30299
499;9;11386;499;9;11388
499;9;11388;499;9;11386
499;9;11103;499;9;11389
499;9;11389;499;9;11103
499;9;11693;499;9;11717
499;9;11717;499;9;11693
499;9;11498;499;9;11694
499;9;11694;499;9;11498
499;9;11695;499;9;11729
499;9;11729;499;9;11695
499;9;11467;499;9;11469
499;9;11469;499;9;11696
499;9;11696;499;9;11698
499;9;11698;499;9;11467
499;9;11609;499;9;11611
499;9;11611;499;9;11699
499;9;11699;499;9;11609
499;9;11700;499;9;11756
499;9;11756;499;9;11700
499;9;11035;499;9;11037
499;9;11037;499;9;11701
499;9;11701;499;9;11035
499;9;11619;499;9;11702
499;9;11702;499;9;11704
499;9;11704;499;9;11619
499;9;30934;499;9;30972
499;9;30972;499;9;30934
499;9;30524;499;9;30974
499;9;30974;499;9;30524
499;9;30235;499;9;30438
499;9;30438;499;9;30975
499;9;30975;499;9;30235
499;9;11382;499;9;11385
499;9;11385;499;9;11382
499;9;30849;499;9;30851
499;9;30851;499;9;30849
499;9;30852;499;9;30860
499;9;30860;499;9;30852
499;9;30853;499;9;30855
499;9;30855;499;9;30853
499;9;11262;499;9;11487
499;9;11487;499;9;11262
499;9;11252;499;9;11263
499;9;11263;499;9;11502
499;9;11502;499;9;11252
499;9;11264;499;9;11473
499;9;11473;499;9;11264
499;9;30402;499;9;30880
499;9;30880;499;9;30402
499;9;30404;499;9;30895
499;9;30895;499;9;30404
499;9;30405;499;9;30413
499;9;30413;499;9;30415
499;9;30415;499;9;30434
499;9;30434;499;9;30405
499;9;39412;499;9;39414
499;9;39414;499;9;39792
499;9;39792;499;9;39412
499;9;39415;499;9;39602
499;9;39602;499;9;39604
499;9;39604;499;9;39415
499;9;39416;499;9;39821
499;9;39821;499;9;39416
499;9;39417;499;9;39609
499;9;39609;499;9;39417
499;9;39424;499;9;40052
499;9;40052;499;9;39424
499;9;39402;499;9;40053
499;9;40053;499;9;39402
499;9;2335;499;9;2338
499;9;2338;499;9;2335
499;9;6224;499;9;6432
499;9;6432;499;9;6559
499;9;6559;499;9;6224
499;9;6225;499;9;6455
499;9;6455;499;9;6861
499;9;6861;499;9;8532
499;9;8532;499;9;6225
499;9;6561;499;9;6895
499;9;6895;499;9;6561
499;9;6227;499;9;6508
499;9;6508;499;9;6562
499;9;6562;499;9;6227
499;9;6563;499;9;8558
499;9;8558;499;9;8560
499;9;8560;499;9;6563
499;9;6259;499;9;6487
499;9;6487;499;9;6489
499;9;6489;499;9;6564
499;9;6564;499;9;6259
499;9;6523;499;9;6565
499;9;6565;499;9;9725
499;9;9725;499;9;6523
499;9;7013;499;9;8492
499;9;8492;499;9;7013
499;9;6505;499;9;6566
499;9;6566;499;9;6568
499;9;6568;499;9;7105
499;9;7105;499;9;7461
499;9;7461;499;9;6505
499;9;39403;499;9;39420
499;9;39420;499;9;39403
499;9;39404;499;9;39406
499;9;39406;499;9;39679
499;9;39679;499;9;39404
499;9;39422;499;9;39425
499;9;39425;499;9;39422
499;9;39426;499;9;39544
499;9;39544;499;9;39426
499;9;39428;499;9;39438
499;9;39438;499;9;39428
499;9;39429;499;9;39629
499;9;39629;499;9;39631
499;9;39631;499;9;39429
499;9;39430;499;9;39486
499;9;39486;499;9;39430
499;9;39431;499;9;39499
499;9;39499;499;9;39518
499;9;39518;499;9;39431
499;9;39515;499;9;39520
499;9;39520;499;9;39515
499;9;39096;499;9;39521
499;9;39521;499;9;39096
499;9;1425;499;9;2315
499;9;2315;499;9;2316
499;9;2316;499;9;1425
499;9;1268;499;9;1428
499;9;1428;499;9;1821
499;9;1821;499;9;1268
499;9;189;499;9;1080
499;9;1080;499;9;189
499;9;1291;499;9;2016
499;9;2016;499;9;1291
499;9;45630;499;9;45632
499;9;45632;499;9;46040
499;9;46040;499;9;45630
499;9;45415;499;9;45633
499;9;45633;499;9;45677
499;9;45677;499;9;45415
499;9;45550;499;9;45634
499;9;45634;499;9;45550
499;9;45584;499;9;46290
499;9;46290;499;9;45584
499;9;45635;499;9;45658
499;9;45658;499;9;45635
499;9;45423;499;9;46416
499;9;46416;499;9;45423
499;9;39407;499;9;39577
499;9;39577;499;9;39407
499;9;39408;499;9;39761
499;9;39761;499;9;39408
499;9;39409;499;9;39582
499;9;39582;499;9;39409
499;9;39410;499;9;39771
499;9;39771;499;9;39410
499;9;39411;499;9;39590
499;9;39590;499;9;39411
499;9;45627;499;9;46287
499;9;46287;499;9;45627
499;9;45625;499;9;46291
499;9;46291;499;9;45625
499;9;45628;499;9;45759
499;9;45759;499;9;45628
499;9;45629;499;9;46060
499;9;46060;499;9;45629
499;9;46102;499;9;46106
499;9;46106;499;9;46102
499;9;46104;499;9;46107
499;9;46107;499;9;46109
499;9;46109;499;9;46104
499;9;45464;499;9;45496
499;9;45496;499;9;45464
499;9;46470;499;9;46565
499;9;46565;499;9;46470
499;9;46317;499;9;46318
499;9;46318;499;9;46510
499;9;46510;499;9;46317
499;9;45799;499;9;46254
499;9;46254;499;9;45799
499;9;45730;499;9;46181
499;9;46181;499;9;45730
499;9;45934;499;9;46114
499;9;46114;499;9;45934
499;9;45440;499;9;45718
499;9;45718;499;9;46115
499;9;46115;499;9;45440
499;9;46116;499;9;46118
499;9;46118;499;9;46176
499;9;46176;499;9;46116
499;9;39531;499;9;39533
499;9;39533;499;9;39531
499;9;39534;499;9;39762
499;9;39762;499;9;39534
499;9;39535;499;9;39583
499;9;39583;499;9;39535
499;9;39536;499;9;39773
499;9;39773;499;9;39536
499;9;39537;499;9;39592
499;9;39592;499;9;39537
499;9;39538;499;9;39793
499;9;39793;499;9;39538
499;9;39539;499;9;39802
499;9;39802;499;9;39539
499;9;39540;499;9;39605
499;9;39605;499;9;39540
499;9;39541;499;9;39825
499;9;39825;499;9;39541
499;9;39542;499;9;39613
499;9;39613;499;9;39542
499;9;45791;499;9;46110
499;9;46110;499;9;45791
499;9;39525;499;9;39527
499;9;39527;499;9;39680
499;9;39680;499;9;39525
499;9;39528;499;9;39578
499;9;39578;499;9;39528
499;9;39529;499;9;39698
499;9;39698;499;9;39529
499;9;45409;499;9;45492
499;9;45492;499;9;45494
499;9;45494;499;9;45998
499;9;45998;499;9;45409
499;9;45495;499;9;45598
499;9;45598;499;9;45495
499;9;45994;499;9;46161
499;9;46161;499;9;46178
499;9;46178;499;9;46316
499;9;46316;499;9;45994
499;9;45771;499;9;45995
499;9;45995;499;9;45771
499;9;45590;499;9;45996
499;9;45996;499;9;45590
499;9;45529;499;9;45531
499;9;45531;499;9;45997
499;9;45997;499;9;45529
