CID;LID;NID;NAME;NCOMMENT
499;1;6274726;亚洲;
499;1;6274727;中国;
499;1;6274728;江苏省;
499;1;3557021;常州市;
499;1;5658438;淮安市;
499;1;6330352;连云港市;
499;1;2866115;南京市;
499;1;1959853;南通市;
499;1;1525767;苏州市;
499;1;6330325;宿迁市;
499;1;6302166;泰州市;
499;1;872542;无锡市;
499;1;559921;徐州市;
499;1;6330335;盐城市;
499;1;4565438;扬州市;
499;1;4258107;镇江市;
499;1;1568589;Ｃ０４８;
499;1;1568588;金清路;
499;1;1568386;东城大道;
499;1;4258110;Ｇ１０４;
499;1;559976;Ｓ２５２;
499;1;560008;Ｇ１０４（旧）;
499;1;560225;汉源大道;
499;1;616322;上坝;
499;1;5346180;Ｘ２０３;
499;1;616323;柳集立交桥;
499;1;560030;桃山路;
499;1;559984;Ｇ３１０;
499;1;2869931;余家大路;
499;1;3137556;双石路;
499;1;3137516;南京绕城高速公路;
499;1;2867648;帕威尔路;
499;1;3137595;乾德路;
499;1;3137554;临川街;
499;1;3137555;吴墅路;
499;1;2867652;Ｓ３３７;
499;1;2867653;桂园西路;
499;1;2867654;Ｘ４２２;
499;1;5335194;Ｘ２０２;
499;1;4593805;王集路;
499;1;4593806;金桥西路;
499;1;4593831;罗庄;
499;1;4593800;扬泰公路;
499;1;560226;长安大道;
499;1;559973;Ｇ２０６;
499;1;560023;杨山路;
499;1;560027;驮蓝山路;
499;1;560007;长安路;
499;1;560118;汉风路;
499;1;560078;丽水路;
499;1;560079;昆仑大道;
499;1;560019;郭庄路;
499;1;560261;和平大道;
499;1;2867784;洪武路;
499;1;2866157;白下路;
499;1;4258195;中山东路;
499;1;2868157;户部街;
499;1;2866625;金箔路;
499;1;3137557;翠文路;
499;1;2866627;天印大道;
499;1;2867888;竹山路;
499;1;2868428;莱茵达路;
499;1;2867685;浦泗路;
499;1;2866893;泰冯路;
499;1;2884793;龙泰路;
499;1;2912928;创业路;
499;1;2912925;高新路;
499;1;2912931;宁六路;
499;1;2866986;上元大街;
499;1;2866276;双龙大道;
499;1;2866988;同夏路;
499;1;2868955;淮滨路;
499;1;2868958;东新南路;
499;1;2912927;万安东路;
499;1;2867153;万安北路;
499;1;2867151;万安西路;
499;1;1904744;湘太路;
499;1;1531139;凤阳路;
499;1;1904743;湘洲路;
499;1;6330384;沈海高速公路连云港段;
499;1;6330351;灌南出入口;
499;1;6330362;岚山西路;
499;1;6330326;Ｓ３２４;
499;1;6330354;灌云服务区;
499;1;6323897;Ｇ２０４;
499;1;6330321;淮连高速公路;
499;1;6330355;新坝中线;
499;1;6330380;连霍高速公路;
499;1;6330334;Ｓ３２３;
499;1;6330356;东海浦南服务区;
499;1;6330357;连云港北收费站;
499;1;6330358;罗阳出入口;
499;1;6330382;长深高速公路;
499;1;6330359;青欢线;
499;1;6330383;赣马服务区;
499;1;6330361;海头出入口;
499;1;1904725;常台高速公路;
499;1;1531852;申嘉湖高速公路;
499;1;1567946;苏通大桥服务区（沈海高速公路）;
499;1;1535308;Ｓ２２７;
499;1;1533842;Ｇ３１８;
499;1;1904728;沪渝高速公路;
499;1;1904729;周湖线;
499;1;1531391;江陵东路;
499;1;1533846;白洋湖服务区;
499;1;1567941;绕城南线;
499;1;1531071;吴东路;
499;1;1531103;独墅湖大道;
499;1;5181738;京沪高速公路;
499;1;1531760;太阳路;
499;1;1533852;阳澄西湖服务区;
499;1;1533853;阳澄湖收费站;
499;1;1567940;绕城北线;
499;1;1904730;新世纪大道;
499;1;1567832;常嘉高速公路;
499;1;2969194;Ｘ３０２;
499;1;3641340;常合高速公路;
499;1;1567944;Ｓ３３８（沈海高速公路）;
499;1;1567945;Ｓ２２３（沈海高速公路）;
499;1;6330386;京沪高速公路宿迁段;
499;1;6330385;丁河街;
499;1;6330329;潼阳出入口;
499;1;6330327;沭阳服务区;
499;1;6330328;Ｓ２４５;
499;1;1960128;城北大道;
499;1;1960146;海五线;
499;1;1960577;集美路;
499;1;1960578;树西路;
499;1;1959938;城港路;
499;1;1960135;兴泰路;
499;1;1960134;菓园路;
499;1;1960065;芦泾路;
499;1;1959943;永兴路;
499;1;1568626;弇山西路;
499;1;1568484;Ｓ３３９;
499;1;1568687;朝阳西路;
499;1;1568772;合兴西路;
499;1;1568672;柏庐南路;
499;1;3620442;人民中路;
499;1;1568773;跃进路;
499;1;1568404;朝阳中路;
499;1;1904747;黑龙江中路;
499;1;1534513;珠江南路;
499;1;1568774;车站路;
499;1;3619915;长江南路;
499;1;1960515;通宁大道高架;
499;1;1959944;黄海路;
499;1;1959940;碳素路;
499;1;1959945;长泰路;
499;1;1568623;沪宜公路;
499;1;2239640;Ｇ２０４（旧）;
499;1;1568620;县府西街;
499;1;2239599;环城北路;
499;1;5153420;环城西路;
499;1;5153423;环城东路;
499;1;1959972;北濠桥路;
499;1;1568574;亭林路;
499;1;1568577;柏庐中路;
499;1;1568553;昆北路;
499;1;1959936;越江路;
499;1;1942468;江堤路;
499;1;1959935;外环西路;
499;1;3631890;长江北路;
499;1;2234324;通港路;
499;1;1960594;Ｇ２０４辅路;
499;1;1960595;华能路;
499;1;5332242;Ｇ２０５;
499;1;5154028;军营西路;
499;1;5333223;宁连高速公路;
499;1;5434453;黄河西路;
499;1;5154033;王杨路;
499;1;6302159;Ｘ３０６;
499;1;5153991;宁连公路;
499;1;5154006;淮阴西绕城;
499;1;3137513;天门大道;
499;1;3137508;长兴大街;
499;1;1592150;东环路;
499;1;1532519;北环东路;
499;1;1568174;葑谊街;
499;1;1531097;东振路;
499;1;1534903;金鸡湖大道;
499;1;1534228;金鸡湖路;
499;1;1532304;中新路;
499;1;1531802;现代大道;
499;1;1534231;娄门路;
499;1;5154010;柯山路;
499;1;5154117;Ｓ３２５;
499;1;5154044;淮涟路;
499;1;5154041;翔宇大道;
499;1;5181747;Ｓ２３７;
499;1;5154042;深圳东路;
499;1;5154043;水渡口大道;
499;1;2867327;雄州东路;
499;1;3137497;东大路;
499;1;4258178;学府路;
