CID;LID;NID;NTRANSLATION
499;2;559921;xu zhou shi
499;3;559921;Xuzhou
499;2;559922;jing hu gao su gong lu xu zhou duan
499;3;559922;Jinghu Hwy Xuzhou Sect
499;2;559923;xin yi fu wu qu
499;3;559923;Xinyi Service Area
499;2;559963;jing tai gao su gong lu
499;3;559963;Jingtai Hwy
499;2;559964;xi bei rao cheng gao su gong lu
499;3;559964;Xibeiraocheng Hwy
499;2;559965;jia wang qing shan quan fu wu qu
499;3;559965;Jiawangqingshanquan Service Area
499;2;559973;G206
499;3;559973;G206
499;2;559975;shao lou fu wu qu
499;3;559975;Shaolou Service Area
499;2;559976;S252
499;3;559976;S252
499;2;559977;S250
499;3;559977;S250
499;2;559980;gang tou fu wu qu
499;3;559980;Gangtou Service Area
499;2;559982;S249
499;3;559982;S249
499;2;559983;cao lin fu wu qu
499;3;559983;Caolin Service Area
499;2;559984;G310
499;3;559984;G310
499;2;559985;liu ji fu wu qu
499;3;559985;Liuji Service Area
499;2;559986;S322
499;3;559986;S322
499;2;559987;run xin lu
499;3;559987;Runxin Rd
499;2;559988;san huan bei lu
499;3;559988;3rd Ring North Rd
499;2;559989;xi san huan lu
499;3;559989;W 3rd Ring Rd
499;2;559990;xiang wang bei lu
499;3;559990;Xiangwang North Rd
499;2;559991;ping shan bei lu
499;3;559991;Pingshan North Rd
499;2;559992;tian qi bei lu
499;3;559992;Tianqi North Rd
499;2;559993;hua run lu
499;3;559993;Huarun Rd
499;2;559994;yin zhuang lu
499;3;559994;Yinzhuang Rd
499;2;559995;mei gang lu
499;3;559995;Meigang Rd
499;2;559996;dong san huan lu
499;3;559996;E 3rd Ring Rd
499;2;559997;hu xi lu
499;3;559997;Huxi Rd
499;2;559999;kuang shan lu
499;3;559999;Kuangshan Rd
499;2;560000;huang he nan lu
499;3;560000;Huanghe South Rd
499;2;560001;tong pei lu
499;3;560001;Tongpei Rd
499;2;560002;xiang wang nan lu
499;3;560002;Xiangwang South Rd
499;2;560004;jiu li shan xi lu
499;3;560004;Jiulishan West Rd
499;2;560005;nan san huan lu
499;3;560005;S 3rd Ring Rd
499;2;560006;jin shan nan lu
499;3;560006;Jinshan South Rd
499;2;560007;chang an lu
499;3;560007;Chang'an Rd
499;2;560008;G104 (jiu)
499;3;560008;G104(Former)
499;2;560009;er huan xi lu
499;3;560009;2nd Ring West Rd
499;2;560010;ming zhu lu
499;3;560010;Mingzhu Rd
499;2;560011;jian guo xi lu
499;3;560011;Jianguo West Rd
499;2;560012;huang he bei lu
499;3;560012;Huanghe North Rd
499;2;560014;er huan bei lu
499;3;560014;2nd Ring North Rd
499;2;560016;jiu li shan dong lu
499;3;560016;Jiulishan East Rd
499;2;560017;shi dai da dao
499;3;560017;Shidai Blvd
499;2;560019;guo zhuang lu
499;3;560019;Guozhuang Rd
499;2;560020;huang chang gong lu
499;3;560020;Huangchang Hwy
499;2;560021;cheng dong da dao
499;3;560021;Chengdong Blvd
499;2;560022;xiang shan lu
499;3;560022;Xiangshan Rd
499;2;560023;yang shan lu
499;3;560023;Yangshan Rd
499;2;560025;dong shan lu
499;3;560025;Dongshan Rd
499;2;560026;pan tao shan lu
499;3;560026;Pantaoshan Rd
499;2;560027;tuo lan shan lu
499;3;560027;Tuolanshan Rd
499;2;560028;jing wei lu
499;3;560028;Jingwei Rd
499;2;560029;luo shan lu
499;3;560029;Luoshan Rd
499;2;560030;tao shan lu
499;3;560030;Taoshan Rd
499;2;560031;miao shan lu
499;3;560031;Miaoshan Rd
499;2;560032;fu xing bei lu
499;3;560032;Fuxing North Rd
499;2;560034;kuang shan dong lu
499;3;560034;Kuangshan East Rd
499;2;560035;su di nan lu
499;3;560035;Sudi South Rd
499;2;560037;fu shun lu
499;3;560037;Fushun Rd
499;2;560039;min zhu nan lu
499;3;560039;Minzhu South Rd
499;2;560041;han shan lu
499;3;560041;Hanshan Rd
499;2;560042;wan da xing lu
499;3;560042;Wandaxing Rd
499;2;560043;mei jian lu
499;3;560043;Meijian Rd
499;2;560044;xi an nan lu
499;3;560044;Xi'an South Rd
499;2;560045;jian guo dong lu
499;3;560045;Jianguo East Rd
499;2;560046;fu xing nan lu
499;3;560046;Fuxing South Rd
499;2;560048;zhu jiang xi lu
499;3;560048;Zhujiang West Rd
499;2;560049;jin shan dong lu
499;3;560049;Jinshan East Rd
499;2;560050;hu dong lu
499;3;560050;Hudong Rd
499;2;560052;wang ling lu
499;3;560052;Wangling Rd
499;2;560053;min zhu bei lu
499;3;560053;Minzhu North Rd
499;2;560054;huan cheng lu
499;3;560054;Huancheng Rd
499;2;560055;ma chang hu lu
499;3;560055;Machanghu Rd
499;2;560060;peng zu lu
499;3;560060;Pengzu Rd
499;2;560061;huai he dong lu
499;3;560061;Huaihe East Rd
499;2;560063;hai he xi lu
499;3;560063;Haihe West Rd
499;2;560064;xin xin lu
499;3;560064;Xinxin Rd
499;2;560065;kui huai lu
499;3;560065;Kuihuai Rd
499;2;560066;huai ta dong lu
499;3;560066;Huaita East Rd
499;2;560067;feng ming lu
499;3;560067;Fengming Rd
499;2;560069;ba zi jie
499;3;560069;Bazi St
499;2;560070;hui gong xi lu
499;3;560070;Huigong West Rd
499;2;560071;xiang he lu
499;3;560071;Xianghe Rd
499;2;560072;jin pu xi lu
499;3;560072;Jinpu West Rd
499;2;560078;li shui lu
499;3;560078;Lishui Rd
499;2;560079;kun lun da dao
499;3;560079;Kunlun Blvd
499;2;560080;xing zhen bei lu
499;3;560080;Xingzhen North Rd
499;2;560085;G311
499;3;560085;G311
499;2;560087;hao tai cun
499;3;560087;Haotai Village
499;2;560090;gu huang he fu wu qu
499;3;560090;Guhuanghe Service Area
499;2;560091;S251
499;3;560091;S251
499;2;560092;tian hong da dao
499;3;560092;Tianhong Blvd
499;2;560093;sui ning gao zuo fu wu qu
499;3;560093;Suining Gaozuo Service Area
499;2;560094;tong shan lu
499;3;560094;Tongshan Rd
499;2;560095;qing feng lu
499;3;560095;Qingfeng Rd
499;2;560096;guang shan lu
499;3;560096;Guangshan Rd
499;2;560097;jin qiao lu
499;3;560097;Jinqiao Rd
499;2;560098;quan xin lu
499;3;560098;Quanxin Rd
499;2;560099;yun long shan sui dao
499;3;560099;Yunlongshan Tunl
499;2;560100;jin pu dong lu
499;3;560100;Jinpu East Rd
499;2;560102;da ma lu
499;3;560102;Damalu
499;2;560103;su di bei lu
499;3;560103;Sudi North Rd
499;2;560104;mei jian yi jie
499;3;560104;Meijianyi St
499;2;560109;xu zhou shi wang qiu zhong xin
499;3;560109;Xuzhoushiwangqiuzhongxin
499;2;560110;wu zhuang lu
499;3;560110;Wuzhuang Rd
499;2;560112;fu guo jie
499;3;560112;Fuguo St
499;2;560113;li da lu
499;3;560113;Lida Rd
499;2;560114;he qing lu
499;3;560114;Heqing Rd
499;2;560115;peng cheng lu
499;3;560115;Pengcheng Rd
499;2;560116;hu zhong lu
499;3;560116;Huzhong Rd
499;2;560118;han feng lu
499;3;560118;Hanfeng Rd
499;2;560121;kui shan lu
499;3;560121;Kuishan Rd
499;2;560122;yu dai xi jie
499;3;560122;Yudai West St
499;2;560123;tian qi nan lu
499;3;560123;Tianqi South Rd
499;2;560125;kang ping lu
499;3;560125;Kangping Rd
499;2;560126;chang xing lu
499;3;560126;Changxing Rd
499;2;560127;fang zhi dong lu
499;3;560127;Fangzhi East Rd
499;2;560129;yu jing lu
499;3;560129;Yujing Rd
499;2;560130;ma chang hu xi lu
499;3;560130;Machanghu West Rd
499;2;560131;li de lu
499;3;560131;Lide Rd
499;2;560132;feng hua jie
499;3;560132;Fenghua St
499;2;560133;ma shi jie
499;3;560133;Mashi St
499;2;560134;jin chuan lu
499;3;560134;Jinchuan Rd
499;2;560136;jing shan lu
499;3;560136;Jingshan Rd
499;2;560138;xiao zhao zhuang
499;3;560138;Xiaozhaozhuang
499;2;560142;chu yun lu
499;3;560142;Chuyun Rd
499;2;560144;wen ting jie
499;3;560144;Wenting St
499;2;560145;yong an nan lu
499;3;560145;Yongan South Rd
499;2;560146;yang jia lu
499;3;560146;Yangjia Rd
499;2;560147;xia ba tou
499;3;560147;Xiabatou
499;2;560151;yun dong er dao
499;3;560151;Yundong'er Ave
499;2;560152;gong jian lu
499;3;560152;Gongjian Rd
499;2;560158;hai he lu
499;3;560158;Haihe Rd
499;2;560159;hua tai lu
499;3;560159;Huatai Rd
499;2;560161;jing guan lu
499;3;560161;Jingguan Rd
499;2;560164;xu gang lu
499;3;560164;Xugang Rd
499;2;560165;meng xi xiang
499;3;560165;Mengxi Ln
499;2;560167;kui huai lu zhi gong jian lu
499;3;560167;Kuihuai Rd to Gongjian Rd
499;2;560171;456 zhen dao
499;3;560171;Siwuliuzhendao
499;2;560173;tong dian jia yuan
499;3;560173;Tongdian Jiayuan
499;2;560174;hao lai hua yuan
499;3;560174;Haolai Garden
499;2;560176;jin gong lu
499;3;560176;Jingong Rd
499;2;560188;xu zhou dian zi ji shu yan jiu suo
499;3;560188;Xuzhou Elec Tech Research Institute
499;2;560201;fu qian lu
499;3;560201;Fuqian Rd
499;2;560204;tie lu wei sheng jian du suo
499;3;560204;Tieluweishengjiandusuo
499;2;560205;liu xin zhuang
499;3;560205;Liuxinzhuang
499;2;560206;han he lu
499;3;560206;Hanhe Rd
499;2;560207;wen hua lu
499;3;560207;Wenhua Rd
499;2;560210;meng nan lu
499;3;560210;Mengnan Rd
499;2;560212;jing tai gao su gong lu xu zhou duan
499;3;560212;Jingtai Hwy Xuzhou Sect
499;2;560214;lian huo gao su gong lu xu zhou duan
499;3;560214;Lianhuo Hwy Xuzhou Sect
499;2;560215;long hai da dao
499;3;560215;Longhai Blvd
499;2;560217;ji xu gao su gong lu
499;3;560217;Jixu Hwy
499;2;560218;ji xu gao su gong lu xu zhou duan
499;3;560218;Jixu Hwy Xuzhou Sect
499;2;560219;jing an ting che qu
499;3;560219;Jing'an Parking Area
499;2;560220;pei xian nan shou fei zhan
499;3;560220;Peixian County South Tollgate
499;2;560221;S321
499;3;560221;S321
499;2;560222;da sha he fu wu qu
499;3;560222;Dashahe Service Area
499;2;560225;han yuan da dao
499;3;560225;Hanyuan Blvd
499;2;560226;chang an da dao
499;3;560226;Chang'an Blvd
499;2;560227;Y552
499;3;560227;Y552
499;2;560228;gan jiang lu
499;3;560228;Ganjiang Rd
499;2;560229;xin du jia yuan
499;3;560229;Xindu Jiayuan
499;2;560230;fu chun lu
499;3;560230;Fuchun Rd
499;2;560233;xia dian lu
499;3;560233;Xiadian Rd
499;2;560234;ping shan nan lu
499;3;560234;Pingshan South Rd
499;2;560235;jia he jie
499;3;560235;Jiahe St
499;2;560237;yun fei lu
499;3;560237;Yunfei Rd
499;2;560238;e mei lu
499;3;560238;Emei Rd
499;2;560239;su di lu
499;3;560239;Sudi Rd
499;2;560240;jia he xi jie
499;3;560240;Jiahe West St
499;2;560241;xi yuan zhong lu
499;3;560241;Xiyuan Middle Rd
499;2;560242;da xue lu
499;3;560242;Daxue Rd
499;2;560243;jie fang lu zhi huang he xi lu
499;3;560243;Jiefang Rd to Huanghe West Rd
499;2;560245;bi zhuang fu wu qu
499;3;560245;Bizhuang Service Area
499;2;560246;yi tang fu wu qu
499;3;560246;Yitang Service Area
499;2;560249;zhen xing da dao
499;3;560249;Zhenxing Blvd
499;2;560251;da peng lu
499;3;560251;Dapeng Rd
499;2;560252;jing ma he nan lu
499;3;560252;Jingmahe South Rd
499;2;560253;hua xia lu
499;3;560253;Huaxia Rd
499;2;560254;zhu jiang dong lu
499;3;560254;Zhujiang East Rd
499;2;560256;xue yuan lu
499;3;560256;Xueyuan Rd
499;2;560257;shang ju lu
499;3;560257;Shangju Rd
499;2;560258;tian mu lu
499;3;560258;Tianmu Rd
499;2;560259;zhu shan xi lu
499;3;560259;Zhushan West Rd
499;2;560260;zi fang bei lu
499;3;560260;Zifang North Rd
499;2;560261;he ping da dao
499;3;560261;Heping Blvd
499;2;560264;pan tao shan nan lu
499;3;560264;Pantaoshan South Rd
499;2;560265;de zheng lu
499;3;560265;Dezheng Rd
499;2;560269;ben teng da dao
499;3;560269;Benteng Blvd
499;2;560270;pi pa lu
499;3;560270;Pipa Rd
499;2;560271;hai ou lu
499;3;560271;Haiou Rd
499;2;560273;ke lian zhuang cun
499;3;560273;Kelianzhuang Village
499;2;560274;feng hua nan lu
499;3;560274;Fenghua South Rd
499;2;560275;xu zhou shi liang shi ju
499;3;560275;Xuzhoushiliangshiju
499;2;560276;su di lu zhi he ping lu
499;3;560276;Sudi Rd to Heping Rd
499;2;560277;lv yuan hua yuan
499;3;560277;Lvyuan Garden
499;2;560278;de zheng lu zhi cheng dong da dao
499;3;560278;Dezheng Rd to Chengdong Blvd
499;2;560279;ren min jia yuan
499;3;560279;Renmin Jiayuan
499;2;560280;tong yang shou fei zhan
499;3;560280;Tongyang Tollgate
499;2;616291;huan feng xian
499;3;616291;Huanfeng Line
499;2;616292;jiang liu xian
499;3;616292;Jiangliu Line
499;2;616293;ta shuang li jiao qiao
499;3;616293;Tashuang Jct
499;2;616294;xinyixishoufeizhan
499;3;616294;Xinyixi Tollgate
499;2;616295;hong hua bu li jiao
499;3;616295;Honghuabu Jct
499;2;616296;liu tong xian
499;3;616296;Liutong Line
499;2;616297;mao huang xian
499;3;616297;Maohuang Line
499;2;616298;xin tong xian
499;3;616298;Xintong Line
499;2;616299;liu guo xian
499;3;616299;Liuguo Line
499;2;616300;jing ma he lu
499;3;616300;Jingmahe Rd
499;2;616302;qian jiang lu
499;3;616302;Qianjiang Rd
499;2;616303;yin shan lu
499;3;616303;Yinshan Rd
499;2;616304;tong chang xi lu
499;3;616304;Tongchang West Rd
499;2;616306;hai he dong lu
499;3;616306;Haihe East Rd
499;2;616308;min fu lu
499;3;616308;Minfu Rd
499;2;616310;dong feng lu
499;3;616310;Dongfeng Rd
499;2;616311;huang shan xin cun you zheng zhi ju
499;3;616311;Huangshanxincunyouzhengzhiju
499;2;616312;min xiang lu
499;3;616312;Minxiang Rd
499;2;616313;wen hua jiao yu ti yu ju
499;3;616313;Wenhuajiaoyutiyuju
499;2;616314;huang shan da dao
499;3;616314;Huangshan Blvd
499;2;616315;yu hu lu
499;3;616315;Yuhu Rd
499;2;616316;zhan xi gao jia lu
499;3;616316;Zhanxi Viad
499;2;616317;kun peng lu
499;3;616317;Kunpeng Rd
499;2;616319;zhan bei lu
499;3;616319;Zhanbei Rd
499;2;616320;zhan dong lu
499;3;616320;Zhandong Rd
499;2;616321;xiao ding dang you er yuan
499;3;616321;Xiaodingdangyoueryuan
499;2;616322;shang ba
499;3;616322;Shangba
499;2;616323;liu ji li jiao qiao
499;3;616323;Liuji Jct
499;2;616324;san bao li jiao qiao
499;3;616324;Sanbao Jct
499;2;616325;tong cun
499;3;616325;Tong Village
499;2;616326;da xi xian
499;3;616326;Daxi Line
499;2;616328;luo shan lu zhi chang an da dao
499;3;616328;Luoshan Rd to Chang'an Blvd
499;2;616331;liu tian xian
499;3;616331;Liutian Line
499;2;616332;er ling liu xian
499;3;616332;Erlingliuxian
499;2;616333;gu tai ji
