CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
499;9;11293;P;1;12;;1568589;1568588;;5;;;11292;1;1;1;1;1;1;;;+12104155;+3141657;0;0
499;9;11294;P;1;11;;1568589;1568386;;5;;;11292;1;1;1;1;1;1;;;+12104151;+3142449;0;0
499;9;45455;P;1;12;;4258110;559976;;14;;45457;;1;1;1;1;1;1;;;+11759050;+3403513;0;1
499;9;46564;P;1;6;;4258110;616322;;14;;45457;;1;1;1;1;1;1;;;+11756009;+3404473;0;0
499;9;45454;P;1;12;;4258110;5346180;;14;;45457;;1;1;1;1;1;1;;;+11741992;+3411630;0;0
499;9;45453;P;1;3;;4258110;616323;;14;;45457;;1;1;1;1;1;1;;;+11728890;+3417320;0;0
499;9;45459;P;1;10;;4258110;560225;;14;;45457;;1;1;1;1;1;1;;;+11728162;+3417512;46460;0
499;9;46460;P;1;10;;4258110;560030;;14;;46459;;1;1;1;1;1;1;;;+11727148;+3430716;45459;1
499;9;46461;P;1;11;;4258110;559984;;14;;46459;;1;1;1;1;1;1;;;+11727424;+3436927;0;0
499;9;46462;P;1;12;;4258110;560008;;14;;46459;;1;1;1;1;1;1;;;+11727329;+3438699;0;0
499;9;1278;P;1;12;;4258110;2869931;;4;;712;;1;1;1;1;1;1;;;+11859909;+3220768;0;0
499;9;716;P;1;3;;4258110;3137516;;4;;712;;1;1;1;1;1;1;;;+11864917;+3216384;448;0
499;9;448;P;1;10;;4258110;2867648;;4;;446;;1;1;1;1;1;1;;;+11890340;+3194902;716;0
499;9;449;P;1;12;;4258110;3137595;;4;;446;;1;1;1;1;1;1;;;+11891475;+3194429;0;0
499;9;1281;P;1;10;;4258110;3137554;;4;;446;;1;1;1;1;1;1;;;+11893313;+3193770;0;1
499;9;1282;P;1;12;;4258110;3137555;;4;;446;;1;1;1;1;1;1;;;+11896928;+3193086;0;0
499;9;1283;P;1;10;;4258110;2867652;;4;;446;;1;1;1;1;1;1;;;+11902034;+3192715;0;0
499;9;1284;P;1;12;;4258110;2867653;;4;;446;;1;1;1;1;1;1;;;+11904743;+3193284;0;0
499;9;1285;P;1;12;;4258110;2867654;;4;;446;;1;1;1;1;1;1;;;+11908730;+3193195;0;0
499;9;1286;P;1;11;;4258110;3137556;;4;;446;;1;1;1;1;1;1;;;+11912743;+3193813;0;0
499;9;36964;P;1;12;;5335194;4593805;;10;;36963;;1;1;1;1;1;1;;;+11953715;+3239852;0;0
499;9;36965;P;1;12;;5335194;4593831;;10;;36963;;1;1;1;1;1;1;;;+11952605;+3242110;36967;0
499;9;36967;P;1;12;;5335194;4593800;;10;;36966;;1;1;1;1;1;1;;;+11952720;+3242091;36965;0
499;9;36968;P;1;10;;5335194;4593806;;10;;36966;;1;1;1;1;1;1;;;+11951401;+3245793;0;1
499;9;46247;P;1;10;;560226;559973;;14;;;45422;1;1;1;1;1;1;;;+11727107;+3426759;0;0
499;9;45846;P;1;10;;560226;560023;;14;;;45422;1;1;1;1;1;1;;;+11727090;+3428893;0;1
499;9;45847;P;1;10;;560226;560027;;14;;;45422;1;1;1;1;1;1;;;+11727158;+3429993;0;1
499;9;46414;P;1;10;;560226;560030;;14;;;45422;1;1;1;1;1;1;;;+11727148;+3430716;0;1
499;9;45402;P;1;10;;560225;560007;;14;;;45401;1;1;1;1;1;1;;;+11721322;+3416423;0;0
499;9;45403;P;1;10;;560225;4258110;;14;;;45401;1;1;1;1;1;1;;;+11728162;+3417512;0;0
499;9;46179;P;1;11;;560225;560118;;14;;;45401;1;1;1;1;1;1;;;+11728609;+3418120;0;0
499;9;45460;P;1;10;;560225;560078;;14;;;45401;1;1;1;1;1;1;;;+11728989;+3418984;0;0
499;9;45461;P;1;10;;560225;560079;;14;;;45401;1;1;1;1;1;1;;;+11729130;+3420717;0;0
499;9;46292;P;1;10;;560225;560019;;14;;;45401;1;1;1;1;1;1;;;+11727293;+3424057;0;0
499;9;46293;P;1;10;;560225;560261;;14;;;45401;1;1;1;1;1;1;;;+11727100;+3425427;0;0
499;9;45462;P;1;10;;560225;559973;;14;;;45401;1;1;1;1;1;1;;;+11727107;+3426759;0;0
499;9;749;P;1;10;;2867784;2866157;;4;;;748;1;1;1;1;1;1;;;+11878636;+3202909;0;1
499;9;750;P;1;10;;2867784;2868157;;4;;;748;1;1;1;1;1;1;;;+11878732;+3203595;0;1
499;9;752;P;1;10;;2867784;4258195;;4;;;748;1;1;1;1;1;1;;;+11878814;+3204148;0;1
499;9;1045;P;1;10;;2866625;3137557;;4;;;1044;1;1;1;1;1;1;;;+11883589;+3195129;0;1
499;9;1318;P;1;10;;2866625;2867888;;4;;;1044;1;1;1;1;1;1;;;+11884540;+3194870;0;1
499;9;907;P;1;10;;2866625;2868428;;4;;;1044;1;1;1;1;1;1;;;+11885365;+3194688;0;1
499;9;1046;P;1;10;;2866625;2866627;;4;;;1044;1;1;1;1;1;1;;;+11886023;+3195434;0;1
499;9;2022;P;1;3;;2867685;3137516;;4;;;2021;1;1;1;1;1;1;;;+11864917;+3216384;0;0
499;9;1279;P;1;10;;2867685;2884793;;4;;;2021;1;1;1;1;1;1;;;+11868045;+3216469;0;0
499;9;715;P;1;10;;2867685;2912928;;4;;;2021;1;1;1;1;1;1;;;+11870083;+3216494;0;0
499;9;714;P;1;10;;2867685;2912925;;4;;;2021;1;1;1;1;1;1;;;+11870943;+3216424;0;0
499;9;713;P;1;7;;2867685;2912931;;4;;;2021;1;1;1;1;1;1;;;+11871533;+3216309;0;0
499;9;1280;P;1;12;;2867685;2866893;;4;;;2021;1;1;1;1;1;1;;;+11871837;+3216113;0;0
