CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
499;9;11292;L;1;4;;1568589;1568588;1568386;5;
499;9;46477;L;1;2;G104;4258110;559976;560008;14;
499;9;1199;L;1;2;G104;4258110;2869931;3137556;4;
499;9;36969;L;1;4;;5335194;4593805;4593806;10;
499;9;45422;L;1;2;G104;560226;559973;560030;14;
499;9;45401;L;1;2;G104;560225;560007;559973;14;
499;9;748;L;1;4;;2867784;2866157;4258195;4;
499;9;1044;L;1;2;G104;2866625;3137557;2866627;4;
499;9;2021;L;1;2;G104;2867685;3137516;2866893;4;
499;9;1113;L;1;4;;2866986;2866276;2866988;4;
499;9;1168;L;1;2;G104;2866988;2866627;2866986;4;
499;9;2023;L;1;2;G104;2912927;2867153;2867648;4;
499;9;1177;L;1;2;G104;2867151;2866988;2867153;4;
499;9;9494;L;1;4;X202;1904744;1531139;1904743;5;
499;9;57051;L;1;1;G15;6330384;6330351;6330362;16;
499;9;6051;L;1;1;G15W;1904725;1531852;1567946;5;
499;9;27051;L;1;1;G2;6330386;6330385;6330329;13;
499;9;31146;L;1;2;G204;6323897;1960128;1960146;9;
499;9;30963;L;1;2;G204;6323897;1959938;1960135;9;
499;9;11387;L;1;2;G204;6323897;1568626;1567940;5;
499;9;11692;L;1;4;;1568687;1568772;1568672;5;
499;9;11697;L;1;4;;1568404;1568672;1904747;5;
499;9;30970;L;1;2;G204;1960128;1959938;1960515;9;
499;9;11383;L;1;2;G204;1568623;2239640;1568626;5;
499;9;30850;L;1;4;;2239599;5153420;5153423;9;
499;9;11261;L;1;4;;2239599;1568574;1568577;5;
499;9;30401;L;1;4;;1959936;1942468;1959935;9;
499;9;31187;L;1;4;;1960594;1960595;1959936;9;
499;9;39413;L;1;2;G205;5332242;5154028;5333223;12;
499;9;40051;L;1;2;G205;5332242;5153991;5154006;12;
499;9;901;L;1;2;G205;5332242;3137513;3137508;4;
499;9;6557;L;1;3;S227;1592150;1531071;1532519;5;
499;9;39401;L;1;2;G205;5154006;5332242;5154010;12;
499;9;39423;L;1;3;S325;5153991;5332242;5154044;12;
499;9;39519;L;1;4;;5153991;5154117;6330321;12;
499;9;1079;L;1;2;G328;2912931;2866893;2867327;4;
499;9;45631;L;1;4;;5154011;5154019;560054;14;
499;9;39405;L;1;2;G205;5154011;5154010;5154028;12;
499;9;45626;L;1;4;;560044;560035;5154011;14;
499;9;46100;L;1;2;G206;559973;560227;5154134;14;
499;9;45463;L;1;2;G206;559973;560021;6330334;14;
499;9;46112;L;1;2;G206;5154138;560228;4628702;14;
499;9;39532;L;1;4;;5154138;5243090;5154122;12;
499;9;46108;L;1;2;G206;5154134;559973;560228;14;
499;9;39526;L;1;4;;5154134;5154010;5243090;12;
499;9;45493;L;1;2;G206;560021;560008;559973;14;
499;9;46315;L;1;2;G206;559996;1959960;560021;14;
499;9;46105;L;1;2;G206;4258180;559973;5154134;14;
499;9;30652;L;1;4;;4258180;1960103;1960020;9;
499;9;39095;L;1;1;G25;6330321;5153991;6330350;12;
499;9;39078;L;1;1;G25;5153902;5153978;5289622;12;
499;9;39061;L;1;1;G25;5153902;5153967;5289622;12;
499;9;187;L;1;1;G2501;3137516;3137520;6330382;4;
499;9;164;L;1;1;G2501;3137516;2884774;6330382;4;
499;9;180;L;1;1;S87;2912954;2869902;3137516;4;
499;9;39066;L;1;1;G2501;5333223;5335397;5346180;12;
499;9;39091;L;1;1;G2501;5333223;5153902;6330321;12;
499;9;125;L;1;1;G2501;2912929;3137520;5332242;4;
499;9;6231;L;2;1;G42;2880191;;;5;
499;9;201;L;1;1;G42;2880191;3137516;2869975;4;
499;9;39081;L;1;1;G2513;5153978;5153902;6330388;12;
499;9;45088;L;1;1;G3;559964;6330380;5153978;14;
499;9;45483;L;1;2;G310;559984;560171;560251;14;
499;9;45477;L;1;2;G310;559984;6302235;616326;14;
499;9;45971;L;1;2;G310;559988;559989;560008;14;
499;9;24583;L;1;4;;4258195;4258185;4258198;8;
499;9;6652;L;1;4;X206;4258195;1533258;1530996;5;
499;9;865;L;1;4;;4258195;2866212;2912933;4;
499;9;6649;L;1;4;X206;4258158;1531877;1533258;5;
499;9;24575;L;1;4;;4258158;4258160;4258185;8;
499;9;45480;L;1;2;G311;560085;560087;560251;14;
499;9;45487;L;1;2;G311;560251;560085;559989;14;
499;9;46172;L;1;2;G311;560005;6330014;560008;14;
499;9;45980;L;1;2;G311;559989;6330014;559986;14;
499;9;14019;L;7;0;;;4258117;895689;6;
499;9;13890;L;7;0;;;4258117;895695;6;
499;9;6332;L;7;0;;;4258117;2880191;5;
499;9;18401;L;1;2;G312;4258117;3753938;3618413;7;
499;9;24451;L;1;2;G312;4258117;4258132;4258141;8;
499;9;11008;L;1;2;G312;4258117;1568370;1568373;5;
499;9;12910;L;1;2;G312;876360;874414;1232729;6;
499;9;18561;L;1;2;G312;3585511;3585422;3753943;7;
499;9;11120;L;1;4;X303;1535316;3585319;6297537;5;
499;9;9488;L;1;4;;1535316;1904749;1534971;5;
499;9;8842;L;1;4;X303;1535316;1535096;1568437;5;
499;9;11104;L;1;4;;1535094;1568463;1568516;5;
499;9;12222;L;1;1;G312;895325;874154;4258117;6;
499;9;13509;L;1;3;S230;876483;1232645;4258117;6;
499;9;1253;L;1;2;G312;2866495;2869975;2913036;4;
499;9;1089;L;1;2;G312;2866834;4258218;2866806;4;
499;9;1209;L;1;2;G312;2912961;2884774;4258117;4;
