CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
499;9;45457;L;3;0;G104;4258110;559976;560225;46477;;14
499;9;46459;L;3;0;G104;4258110;560030;560008;46477;;14
499;9;712;L;3;0;G104;4258110;2869931;3137516;1199;;4
499;9;446;L;3;0;G104;4258110;2867648;3137556;1199;;4
499;9;36963;L;3;0;;5335194;4593805;4593831;36969;;10
499;9;36966;L;3;0;;5335194;4593800;4593806;36969;;10
499;9;6232;L;3;0;S9;1567940;5181738;1535316;6231;;5
499;9;6256;L;3;0;S5;1567952;1535316;1567954;6231;;5
499;9;6248;L;3;0;S58;1567941;1567954;1530952;6231;;5
499;9;6242;L;3;0;S9;1567953;1530952;5181738;6231;;5
499;9;13397;L;3;0;;872555;876478;874144;13396;;6
499;9;12430;L;3;0;;872555;874147;874156;13396;;6
499;9;13758;L;3;0;;872555;895325;1567926;13396;;6
499;9;45993;L;3;0;S121;560008;560225;560005;46586;;14
499;9;46001;L;3;0;S121;560008;560021;4258110;46586;;14
499;9;12629;L;3;0;;3631890;872634;872635;14180;;6
499;9;13205;L;3;0;;3631890;874796;895690;14180;;6
499;9;12506;L;3;0;;3585319;876363;874769;13064;;6
499;9;13067;L;3;0;;3585319;872856;874601;13064;;6
499;9;9443;L;3;0;;1531050;1531443;1531445;9760;;5
499;9;6629;L;3;0;;1531050;1532634;4258117;9760;;5
499;9;7020;L;3;0;S230;1530996;1568000;1530952;9761;;5
499;9;6656;L;3;0;S230;1530996;4258195;5299259;9761;;5
499;9;19386;L;3;0;S232;6274474;3585530;3585473;19561;;7
499;9;19557;L;3;0;S232;6274474;3641596;3585504;19561;;7
499;9;45572;L;3;0;;5434395;5154217;616340;45571;;14
499;9;45575;L;3;0;;5434395;560045;5154096;45571;;14
499;9;46475;L;3;0;;5434395;560275;4626523;45571;;14
499;9;36949;L;3;0;S333;4593605;4626589;4593833;37020;;10
499;9;37021;L;3;0;S333;4593605;4593832;4593800;37020;;10
499;9;18421;L;3;0;S340;4258111;3585431;4258117;18420;;7
499;9;18422;L;3;0;S340;4258111;3585449;3585434;18420;;7
499;9;19031;L;3;0;X208;3585520;3585438;3585526;19626;;7
499;9;19624;L;3;0;X208;3585520;3585672;3585537;19626;;7
499;9;18990;L;3;0;X210;3585543;3641609;4258166;18996;;7
499;9;18997;L;3;0;X210;3585543;3585635;3753949;18996;;7
499;9;7071;L;3;0;X303;1531760;1532508;4668504;7070;;5
499;9;7072;L;3;0;X303;1531760;1531041;1904725;7070;;5
499;9;1386;L;3;0;X308;2866205;2866206;2867552;1385;;4
499;9;822;L;3;0;X308;2866205;2867554;2866185;1385;;4
499;9;498;L;3;0;;2866166;2866167;2913215;1339;;4
499;9;1340;L;3;0;;2866166;2913216;2866163;1339;;4
499;9;8775;L;3;0;;1535058;1531802;1532776;8774;;5
499;9;8776;L;3;0;;1535058;1535081;1535062;8774;;5
499;9;6828;L;3;0;;1531100;3604488;1904785;9762;;5
499;9;9693;L;3;0;;1531100;1531625;1904797;9762;;5
499;9;9421;L;3;0;;1531103;1592150;1534998;9675;;5
499;9;6973;L;3;0;;1531103;1533103;1533105;9675;;5
499;9;46560;L;3;0;;560127;2870067;560011;46559;;14
499;9;46164;L;3;0;;560127;616321;5154019;46559;;14
499;9;1242;L;3;0;;2866322;3137600;3137601;1241;;4
499;9;1243;L;3;0;;2866322;3137602;2866185;1241;;4
499;9;13210;L;3;0;;874405;895616;895618;13209;;6
499;9;13213;L;3;0;;874405;1533692;895333;13209;;6
499;9;13216;L;3;0;;874405;872733;895411;13209;;6
499;9;39931;L;3;0;;5154085;5154251;5154064;40047;;12
499;9;39911;L;3;0;;5154085;5154043;5288722;40047;;12
499;9;1233;L;3;0;;2866463;2866185;2866757;1232;;4
499;9;1237;L;3;0;;2866463;2867566;3137606;1232;;4
499;9;11340;L;3;0;;2866165;1568603;1568440;11346;;5
499;9;11347;L;3;0;;2866165;1568553;1568578;11346;;5
499;9;8166;L;3;0;;1532509;1534950;1534954;8165;;5
499;9;8167;L;3;0;;1532509;1534953;4258117;8165;;5
499;9;9103;L;3;0;;1535055;1535060;1535076;9102;;5
499;9;9105;L;3;0;;1535055;1535076;1535060;9102;;5
