CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
499;9;45457;;46459
499;9;46459;45457;
499;9;712;;446
499;9;446;712;
499;9;36963;;36966
499;9;36966;36963;
499;9;6232;6242;6256
499;9;6256;6232;6248
499;9;6248;6256;6242
499;9;6242;6248;6232
499;9;13397;;12430
499;9;12430;13397;13758
499;9;13758;12430;
499;9;45993;;46001
499;9;46001;45993;
499;9;12629;;13205
499;9;13205;12629;
499;9;12506;;13067
499;9;13067;12506;
499;9;9443;;6629
499;9;6629;9443;
499;9;7020;;6656
499;9;6656;7020;
499;9;19386;;19557
499;9;19557;19386;
499;9;45572;;45575
499;9;45575;45572;46475
499;9;46475;45575;
499;9;36949;;37021
499;9;37021;36949;
499;9;18421;;18422
499;9;18422;18421;
499;9;19031;;19624
499;9;19624;19031;
499;9;18990;;18997
499;9;18997;18990;
499;9;7071;;7072
499;9;7072;7071;
499;9;1386;;822
499;9;822;1386;
499;9;498;;1340
499;9;1340;498;
499;9;8775;;8776
499;9;8776;8775;
499;9;6828;;9693
499;9;9693;6828;
499;9;9421;;6973
499;9;6973;9421;
499;9;46560;;46164
499;9;46164;46560;
499;9;1242;;1243
499;9;1243;1242;
499;9;13210;;13213
499;9;13213;13210;13216
499;9;13216;13213;
499;9;39931;;39911
499;9;39911;39931;
499;9;1233;;1237
499;9;1237;1233;
499;9;11340;;11347
499;9;11347;11340;
499;9;8166;;8167
499;9;8167;8166;
499;9;9103;9105;9105
499;9;9105;9103;9103
499;9;9729;;9730
499;9;9730;9729;
499;9;9726;;9727
499;9;9727;9726;
499;9;6644;;8319
499;9;8319;6644;
499;9;46237;;46240
499;9;46240;46237;
499;9;2099;;2100
499;9;2100;2099;
499;9;45850;;46568
499;9;46568;45850;
499;9;12203;12205;12204
499;9;12204;12203;12205
499;9;12205;12204;12203
499;9;39862;;39867
499;9;39867;39862;
499;9;12530;;13476
499;9;13476;12530;
499;9;36991;;36994
499;9;36994;36991;
499;9;8799;;8801
499;9;8801;8799;
499;9;14087;;14095
499;9;14095;14087;
499;9;31175;;31183
499;9;31183;31175;
499;9;14114;;19818
499;9;19818;14114;
499;9;12751;;13105
499;9;13105;12751;
499;9;12659;;12663
499;9;12663;12659;
499;9;13468;;13472
499;9;13472;13468;
499;9;13240;;13243
499;9;13243;13240;
499;9;8721;;11943
499;9;11943;8721;
499;9;654;;655
499;9;655;654;
499;9;18854;;19744
499;9;19744;18854;
499;9;12401;;12716
499;9;12716;12401;
499;9;18468;;18715
499;9;18715;18468;
