CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
359;8;12319;359;8;14952
359;8;14952;359;8;12319
359;8;12323;359;8;14907
359;8;14907;359;8;14914
359;8;14914;359;8;12323
359;8;12324;359;8;14844
359;8;14844;359;8;12324
359;8;12309;359;8;12325
359;8;12325;359;8;12309
359;8;12265;359;8;12327
359;8;12327;359;8;12265
359;8;12330;359;8;13637
359;8;13637;359;8;12330
359;8;12331;359;8;13974
359;8;13974;359;8;12331
359;8;12333;359;8;14156
359;8;14156;359;8;14165
359;8;14165;359;8;12333
359;8;12334;359;8;15538
359;8;15538;359;8;12334
359;8;12335;359;8;14208
359;8;14208;359;8;12335
359;8;12336;359;8;13924
359;8;13924;359;8;12336
359;8;12337;359;8;13926
359;8;13926;359;8;12337
359;8;12282;359;8;12338
359;8;12338;359;8;12282
359;8;12341;359;8;13451
359;8;13451;359;8;12341
359;8;13638;359;8;13811
359;8;13811;359;8;13919
359;8;13919;359;8;13638
359;8;13632;359;8;13634
359;8;13634;359;8;13632
359;8;14916;359;8;14918
359;8;14918;359;8;14916
359;8;13399;359;8;13401
359;8;13401;359;8;13464
359;8;13464;359;8;13399
359;8;13418;359;8;13420
359;8;13420;359;8;13465
359;8;13465;359;8;13418
359;8;14533;359;8;14535
359;8;14535;359;8;14533
359;8;13559;359;8;13909
359;8;13909;359;8;13914
359;8;13914;359;8;15466
359;8;15466;359;8;13559
359;8;13573;359;8;13915
359;8;13915;359;8;13573
359;8;13588;359;8;13916
359;8;13916;359;8;13588
359;8;13642;359;8;13644
359;8;13644;359;8;13917
359;8;13917;359;8;13642
359;8;13651;359;8;13918
359;8;13918;359;8;14076
359;8;14076;359;8;13651
359;8;13922;359;8;13986
359;8;13986;359;8;13922
359;8;13925;359;8;14127
359;8;14127;359;8;13925
359;8;14949;359;8;14951
359;8;14951;359;8;14949
359;8;12054;359;8;12095
359;8;12095;359;8;12054
359;8;12523;359;8;12525
359;8;12525;359;8;12527
359;8;12527;359;8;12533
359;8;12533;359;8;12523
359;8;12535;359;8;12537
359;8;12537;359;8;12535
359;8;12401;359;8;12403
359;8;12403;359;8;12401
359;8;12409;359;8;12411
359;8;12411;359;8;12635
359;8;12635;359;8;12409
359;8;12491;359;8;12495
359;8;12495;359;8;12497
359;8;12497;359;8;15567
359;8;15567;359;8;12491
359;8;12443;359;8;12445
359;8;12445;359;8;12443
359;8;12539;359;8;12541
359;8;12541;359;8;12539
359;8;15569;359;8;15571
359;8;15571;359;8;15569
359;8;12413;359;8;12415
359;8;12415;359;8;12413
359;8;12421;359;8;12423
359;8;12423;359;8;12421
359;8;12473;359;8;12475
359;8;12475;359;8;12473
359;8;12351;359;8;12355
359;8;12355;359;8;12357
359;8;12357;359;8;12351
359;8;12395;359;8;12397
359;8;12397;359;8;12399
359;8;12399;359;8;12395
359;8;12507;359;8;12509
359;8;12509;359;8;12507
359;8;12369;359;8;12373
359;8;12373;359;8;12369
359;8;12501;359;8;12503
359;8;12503;359;8;12505
359;8;12505;359;8;12501
359;8;12375;359;8;12377
359;8;12377;359;8;12379
359;8;12379;359;8;12381
359;8;12381;359;8;12375
359;8;12359;359;8;12365
359;8;12365;359;8;12359
359;8;12345;359;8;12353
359;8;12353;359;8;12345
359;8;12405;359;8;12407
359;8;12407;359;8;12405
359;8;12425;359;8;12427
359;8;12427;359;8;12425
359;8;12417;359;8;12419
359;8;12419;359;8;12417
359;8;12465;359;8;12467
359;8;12467;359;8;12469
359;8;12469;359;8;12471
359;8;12471;359;8;12465
359;8;12515;359;8;12517
359;8;12517;359;8;12515
359;8;12477;359;8;12479
359;8;12479;359;8;12477
359;8;12453;359;8;12455
359;8;12455;359;8;12453
359;8;12461;359;8;12463
359;8;12463;359;8;12461
359;8;14675;359;8;14677
359;8;14677;359;8;14675
359;8;12391;359;8;12393
359;8;12393;359;8;12391
359;8;12383;359;8;12385
359;8;12385;359;8;12383
359;8;12361;359;8;12363
359;8;12363;359;8;12361
359;8;12347;359;8;12349
359;8;12349;359;8;12347
359;8;12433;359;8;12435
359;8;12435;359;8;12433
359;8;12437;359;8;12439
359;8;12439;359;8;12437
359;8;12429;359;8;12431
359;8;12431;359;8;12441
359;8;12441;359;8;12429
359;8;12485;359;8;12487
359;8;12487;359;8;12485
359;8;12387;359;8;12389
359;8;12389;359;8;12387
359;8;12457;359;8;12459
359;8;12459;359;8;12457
359;8;12124;359;8;12313
359;8;12313;359;8;12124
359;8;12127;359;8;15051
359;8;15051;359;8;15105
359;8;15105;359;8;12127
359;8;12132;359;8;13406
359;8;13406;359;8;14391
359;8;14391;359;8;12132
359;8;12133;359;8;12136
359;8;12136;359;8;12133
359;8;12075;359;8;12134
359;8;12134;359;8;12075
359;8;12529;359;8;12531
359;8;12531;359;8;12529
359;8;12101;359;8;12303
359;8;12303;359;8;12101
359;8;12102;359;8;13510
359;8;13510;359;8;12102
359;8;12103;359;8;13514
359;8;13514;359;8;15519
359;8;15519;359;8;12103
359;8;12107;359;8;12120
359;8;12120;359;8;12107
359;8;12086;359;8;12108
359;8;12108;359;8;12086
359;8;12061;359;8;12111
359;8;12111;359;8;12061
359;8;12989;359;8;12991
359;8;12991;359;8;12993
359;8;12993;359;8;12989
359;8;12302;359;8;14408
359;8;14408;359;8;12302
359;8;14488;359;8;14596
359;8;14596;359;8;14488
359;8;14431;359;8;14489
359;8;14489;359;8;14491
359;8;14491;359;8;14431
359;8;14598;359;8;14604
359;8;14604;359;8;14598
359;8;14599;359;8;14601
359;8;14601;359;8;14599
359;8;14650;359;8;14658
359;8;14658;359;8;14650
359;8;14492;359;8;14495
359;8;14495;359;8;14631
359;8;14631;359;8;14492
359;8;14493;359;8;14937
359;8;14937;359;8;14493
359;8;14479;359;8;14680
359;8;14680;359;8;14479
359;8;14480;359;8;14529
359;8;14529;359;8;14480
359;8;14481;359;8;14702
359;8;14702;359;8;14481
359;8;14477;359;8;14483
359;8;14483;359;8;14698
359;8;14698;359;8;14477
359;8;14666;359;8;14670
359;8;14670;359;8;14666
359;8;14671;359;8;15489
359;8;15489;359;8;14671
359;8;12721;359;8;12723
359;8;12723;359;8;12727
359;8;12727;359;8;12729
359;8;12729;359;8;12731
359;8;12731;359;8;12721
359;8;12643;359;8;12645
359;8;12645;359;8;12643
359;8;12647;359;8;12649
359;8;12649;359;8;12651
359;8;12651;359;8;12647
359;8;12563;359;8;12565
359;8;12565;359;8;12563
359;8;12683;359;8;12697
359;8;12697;359;8;12683
359;8;12623;359;8;12625
359;8;12625;359;8;12627
359;8;12627;359;8;12623
359;8;12719;359;8;12725
359;8;12725;359;8;12719
359;8;12669;359;8;12671
359;8;12671;359;8;12669
359;8;12707;359;8;12713
359;8;12713;359;8;12707
359;8;12709;359;8;12715
359;8;12715;359;8;12717
359;8;12717;359;8;12709
359;8;12653;359;8;12655
359;8;12655;359;8;12653
359;8;12553;359;8;12555
359;8;12555;359;8;12553
359;8;12250;359;8;12481
359;8;12481;359;8;12250
359;8;12629;359;8;12631
359;8;12631;359;8;12633
359;8;12633;359;8;12629
359;8;12571;359;8;12573
359;8;12573;359;8;12571
359;8;12607;359;8;12609
359;8;12609;359;8;12607
359;8;12547;359;8;12549
359;8;12549;359;8;12551
359;8;12551;359;8;12547
359;8;12603;359;8;12605
359;8;12605;359;8;12603
359;8;12615;359;8;12621
359;8;12621;359;8;12615
359;8;12561;359;8;12567
359;8;12567;359;8;12569
359;8;12569;359;8;12561
359;8;12685;359;8;12695
359;8;12695;359;8;12699
359;8;12699;359;8;12685
359;8;12673;359;8;12675
359;8;12675;359;8;12681
359;8;12681;359;8;12673
359;8;12579;359;8;12581
359;8;12581;359;8;12579
359;8;12591;359;8;12593
359;8;12593;359;8;12591
359;8;12657;359;8;12659
359;8;12659;359;8;12657
359;8;12701;359;8;12703
359;8;12703;359;8;12701
359;8;12483;359;8;13063
359;8;13063;359;8;12483
359;8;12617;359;8;12619
359;8;12619;359;8;12617
359;8;12677;359;8;12679
359;8;12679;359;8;12677
359;8;12557;359;8;12559
359;8;12559;359;8;12557
359;8;12595;359;8;12597
359;8;12597;359;8;12595
359;8;12575;359;8;12577
359;8;12577;359;8;12575
359;8;12661;359;8;12663
359;8;12663;359;8;12661
359;8;12583;359;8;12585
359;8;12585;359;8;12583
359;8;12687;359;8;12691
359;8;12691;359;8;12705
359;8;12705;359;8;12711
359;8;12711;359;8;12687
359;8;12085;359;8;12253
359;8;12253;359;8;12085
359;8;12254;359;8;15299
359;8;15299;359;8;15355
359;8;15355;359;8;12254
359;8;12244;359;8;12246
359;8;12246;359;8;12255
359;8;12255;359;8;15316
359;8;15316;359;8;12244
359;8;12256;359;8;15449
359;8;15449;359;8;15451
359;8;15451;359;8;12256
359;8;12203;359;8;12260
359;8;12260;359;8;12203
359;8;12262;359;8;13546
359;8;13546;359;8;13957
359;8;13957;359;8;13965
359;8;13965;359;8;12262
359;8;12267;359;8;14058
359;8;14058;359;8;12267
359;8;12268;359;8;15009
359;8;15009;359;8;12268
359;8;12270;359;8;15056
359;8;15056;359;8;12270
359;8;12271;359;8;12293
359;8;12293;359;8;15080
359;8;15080;359;8;15082
359;8;15082;359;8;12271
359;8;13899;359;8;15501
359;8;15501;359;8;13899
359;8;13897;359;8;13900
359;8;13900;359;8;13897
359;8;13640;359;8;13901
359;8;13901;359;8;13640
359;8;13823;359;8;14059
359;8;14059;359;8;13823
359;8;15221;359;8;15255
359;8;15255;359;8;15221
359;8;15256;359;8;15261
359;8;15261;359;8;15256
359;8;15252;359;8;15257
359;8;15257;359;8;15399
359;8;15399;359;8;15252
359;8;14047;359;8;14055
359;8;14055;359;8;14047
359;8;12787;359;8;12789
359;8;12789;359;8;12787
359;8;12983;359;8;12995
359;8;12995;359;8;12983
359;8;12835;359;8;12837
359;8;12837;359;8;12839
