CID;LID;NID;NAME;NCOMMENT
359;1;3324;亚洲;
359;1;3325;中国;
359;1;265;香港特别行政区;
359;1;218;香港;
359;1;244;１号干线;
359;1;369;香港仔海傍道;
359;1;220;９号干线;
359;1;370;鸭脷洲大桥;
359;1;371;南朗山道;
359;1;372;海洋公园道;
359;1;373;黄竹坑道;
359;1;374;皇后大道东;
359;1;284;４号干线;
359;1;251;５号干线;
359;1;376;卫理道;
359;1;377;忠民街;
359;1;378;培正道;
359;1;324;太子道西;
359;1;379;雅息士道;
359;1;380;兰开夏道;
359;1;521;对衡道;
359;1;382;禧福道;
359;1;383;添福道;
359;1;384;义德道;
359;1;270;７号干线;
359;1;385;红梅谷道;
359;1;386;狮子山隧道公路;
359;1;290;沙田围路;
359;1;387;翠榕桥;
359;1;495;公主道;
359;1;3302;民丰径;
359;1;1212;亚皆老街;
359;1;425;南风道;
359;1;191;寿山村道;
359;1;295;车公庙路;
359;1;246;大埔公路－大围段;
359;1;639;湾仔交汇处;
359;1;648;告士打道;
359;1;269;窝打老道;
359;1;807;渡船街;
359;1;1214;上海街;
359;1;1218;弥敦道;
359;1;1232;梭桠道;
359;1;516;界限街;
359;1;1288;歌和老街;
359;1;200;香港仔大道;
359;1;219;１０号干线;
359;1;1577;深圳湾口岸;
359;1;221;厦村路;
359;1;241;２号干线;
359;1;558;１号干线２号干线出口匝道;
359;1;559;２号干线西侧;
359;1;561;１号干线２号干线西侧出口匝道;
359;1;1607;４号干线１号干线入口匝道;
359;1;459;４号干线南侧;
359;1;460;１号干线４号干线南侧出口匝道;
359;1;527;７号干线南侧;
359;1;530;１号干线７号干线南侧出口匝道;
359;1;488;畅通道南;
359;1;491;１号干线畅通道南出口匝道;
359;1;291;大涌桥路;
359;1;1508;１号干线大涌桥路出口匝道;
359;1;3297;火石道;
359;1;3299;１号干线火石道出口匝道;
359;1;463;科学馆道;
359;1;465;１号干线科学馆道出口匝道;
359;1;471;科学馆道东侧;
359;1;472;１号干线科学馆道东侧出口匝道;
359;1;511;太子道西南侧;
359;1;513;１号干线太子道西南侧出口匝道;
359;1;392;鸭脷洲大桥东侧;
359;1;405;１号干线鸭脷洲大桥东侧出口匝道;
359;1;395;１号干线北侧;
359;1;1497;４号干线１号干线北侧入口匝道;
359;1;540;１号干线北侧车公庙路出口匝道;
359;1;424;１号干线北侧海洋公园道出口匝道;
359;1;536;１号干线北侧红梅谷道出口匝道;
359;1;430;１号干线北侧黄竹坑道出口匝道;
359;1;427;１号干线北侧南风道出口匝道;
359;1;428;南风道西侧;
359;1;429;１号干线北侧南风道西侧出口匝道;
359;1;401;１号干线北侧南朗山道出口匝道;
359;1;545;沙田围路北侧;
359;1;552;１号干线北侧沙田围路北侧出口匝道;
359;1;537;松柏路;
359;1;538;１号干线北侧松柏路出口匝道;
359;1;407;１号干线北侧鸭脷洲大桥东侧出口匝道;
359;1;435;１号干线东侧;
359;1;451;４号干线北侧;
359;1;643;１号干线东侧４号干线北侧出口匝道;
359;1;3328;１号干线东侧４号干线北侧下匝道;
359;1;473;安运道;
359;1;474;１号干线东侧安运道出口匝道;
359;1;3295;１号干线东侧歌和老街出口匝道;
359;1;469;康庄道;
359;1;470;１号干线东侧康庄道出口匝道;
359;1;466;１号干线东侧科学馆道出口匝道;
359;1;506;１号干线东侧培正道出口匝道;
359;1;1503;１号干线东侧沙田围路出口匝道;
359;1;468;梳士巴利道;
359;1;467;１号干线东侧梳士巴利道出口匝道;
359;1;515;１号干线东侧太子道西出口匝道;
359;1;446;文东街;
359;1;447;１号干线东侧文东街出口匝道;
359;1;498;治民街;
359;1;500;１号干线东侧治民街出口匝道;
359;1;504;１号干线东侧忠民街出口匝道;
359;1;1592;１号干线南侧;
359;1;422;１号干线南侧海洋公园道出口匝道;
359;1;1593;１号干线南侧红梅谷道出口匝道;
359;1;441;皇后大道东北侧;
359;1;443;１号干线东侧皇后大道东北侧出口匝道;
359;1;431;黄竹坑道东侧;
359;1;432;１号干线南侧黄竹坑道东侧出口匝道;
359;1;403;１号干线南侧南朗山道出口匝道;
359;1;398;香叶道;
359;1;1595;１号干线南侧香叶道出入口匝道;
359;1;404;１号干线南侧鸭脷洲大桥东侧出口匝道;
359;1;437;１号干线西侧;
359;1;482;１号干线西侧１号干线东侧掉头口匝道;
359;1;479;５号干线北侧;
359;1;486;５号干线北侧１号干线西侧入口匝道;
359;1;476;５号干线南侧;
359;1;477;５号干线南侧１号干线西侧入口匝道;
359;1;522;１号干线西侧对衡道出口匝道;
359;1;438;皇后大道东南侧;
359;1;439;１号干线西侧皇后大道东南侧出口匝道;
359;1;507;１号干线西侧培正道出口匝道;
359;1;1505;１号干线西侧沙田围路出口匝道;
359;1;502;１号干线西侧卫理道出口匝道;
359;1;523;１号干线西侧禧福道出口匝道;
359;1;548;银城街;
359;1;550;１号干线西侧银城街出口匝道;
359;1;285;鲤鱼门道;
359;1;286;伟业街;
359;1;287;海滨道;
359;1;288;观塘道;
359;1;289;斧山道;
359;1;292;马鞍山路;
359;1;553;沙田围路南侧;
359;1;556;２号干线沙田围路南侧出口匝道;
359;1;560;１号干线２号干线西侧入口匝道;
359;1;1506;１号干线东侧２号干线西侧入口匝道;
359;1;227;３号干线;
359;1;268;干诺道西;
359;1;247;８号干线;
359;1;271;葵青路;
359;1;272;青衣北岸公路;
359;1;253;深井东村;
359;1;273;八乡路;
359;1;274;锦田公路;
359;1;908;５号干线３号干线入口匝道;
359;1;781;５号干线西侧;
359;1;909;５号干线西侧３号干线入口匝道;
359;1;355;城西道;
359;1;368;永泰道;
359;1;356;民照街;
359;1;357;会所街;
359;1;359;添美道;
359;1;360;军器厂街;
359;1;361;菲林明道;
359;1;362;兴发街;
359;1;363;糖水道;
359;1;364;民康街;
359;1;708;柴湾道;
359;1;366;东喜道;
359;1;367;盛泰道;
359;1;3304;维多利中心;
359;1;70;维园道;
359;1;9;坚弥地城新海旁;
359;1;570;丰物道;
359;1;28;干诺道中;
359;1;20;德辅道西;
359;1;91;永乐街;
359;1;102;昃臣道;
359;1;597;雪厂街;
359;1;92;文华里;
359;1;25;摩利臣街;
359;1;52;民光街;
359;1;44;摩顿台;
359;1;629;马师道;
359;1;457;波斯富街;
359;1;603;夏慤道;
359;1;599;爱丁堡广场;
359;1;358;演艺道;
359;1;57;添华道;
359;1;710;４号干线柴湾道出口匝道;
359;1;712;４号干线东喜道出口匝道;
359;1;650;４号干线告士打道出口匝道;
359;1;651;歌顿道;
359;1;652;４号干线歌顿道出口匝道;
359;1;586;金融街北侧;
359;1;588;４号干线金融街北侧出口匝道;
359;1;675;康安街;
359;1;686;４号干线康安街出口匝道;
359;1;714;乐民道;
359;1;715;４号干线乐民道出口匝道;
359;1;632;马师道西侧;
359;1;634;４号干线马师道西侧出口匝道;
359;1;589;４号干线民照街出口匝道;
359;1;706;南康街;
359;1;711;４号干线南康街出口匝道;
359;1;666;太古湾道;
359;1;668;４号干线太古湾道出口匝道;
359;1;697;太康街;
359;1;702;４号干线太康街出口匝道;
359;1;704;太康街北侧;
359;1;705;４号干线太康街北侧出口匝道;
359;1;656;４号干线糖水道出口匝道;
359;1;576;威利麻街;
359;1;577;４号干线威利麻街出口匝道;
359;1;578;威利麻街东侧;
359;1;579;４号干线威利麻街东侧出口匝道;
359;1;654;４号干线兴发街出口匝道;
