CID;LID;NID;NTRANSLATION
359;2;5;shi mei fei lu
359;3;5;Smithfield
359;4;5;士美菲路
359;2;6;mo xing ling dao
359;3;6;Mount Davis Rd
359;4;6;摩星嶺道
359;2;7;pu fei lu
359;3;7;Pokfield Rd
359;4;7;蒲飛路
359;2;8;shi shan jie
359;3;8;Rock Hill St
359;4;8;石山街
359;2;9;jian mi di cheng xin hai pang
359;3;9;Kennedy Town New Praya
359;4;9;堅彌地城新海旁
359;2;10;bao fu lin dao
359;3;10;Pok Fu Lam Rd
359;4;10;薄扶林道
359;2;11;shan shi jie
359;3;11;Sands St
359;4;11;山市街
359;2;15;bao fu lin dao zhi gan nuo dao xi
359;3;15;Pok Fu Lam Rd N to Connaught Rd W
359;4;15;薄扶林道至干諾道西
359;2;17;shui jie
359;3;17;Water St
359;4;17;水街
359;2;18;gao jie
359;3;18;High St
359;4;18;高街
359;2;19;huang hou da dao xi
359;3;19;Queen's Rd W
359;4;19;皇后大道西
359;2;20;de fu dao xi
359;3;20;Des Voeux Rd W
359;4;20;德輔道西
359;2;22;xi bian jie
359;3;22;Western St
359;4;22;西邊街
359;2;23;ban xian dao
359;3;23;Bonham Rd
359;4;23;般咸道
359;2;24;dong bian jie
359;3;24;Eastern St
359;4;24;東邊街
359;2;25;mo li chen jie
359;3;25;Morrison St
359;4;25;摩利臣街
359;2;26;huang hou da dao zhong
359;3;26;Queen's Rd C
359;4;26;皇后大道中
359;2;27;wen xian dong jie
359;3;27;Bonham Strand
359;4;27;文咸東街
359;2;28;gan nuo dao zhong
359;3;28;Connaught Rd C
359;4;28;干諾道中
359;2;29;shi pai wan dao
359;3;29;Shek Pai Wan Rd
359;4;29;石排灣道
359;2;30;shan dao
359;3;30;Hill Rd
359;4;30;山道
359;2;31;xi mo dao
359;3;31;Seymour Rd
359;4;31;西摩道
359;2;32;bai dao
359;3;32;Park Rd
359;4;32;柏道
359;2;33;luo bian chen dao
359;3;33;Robinson Rd
359;4;33;羅便臣道
359;2;34;hua yuan dao
359;3;34;Garden Rd
359;4;34;花園道
359;2;35;ma ji xian xia dao
359;3;35;Magazine Gap Rd
359;4;35;馬己仙峽道
359;2;36;mei dao
359;3;36;May Rd
359;4;36;梅道
359;2;37;shan ding dao
359;3;37;Peak Rd
359;4;37;山頂道
359;2;38;si tu ba dao
359;3;38;Stubbs Rd
359;4;38;司徒拔道
359;2;39;da keng dao
359;3;39;Tai Hang Rd
359;4;39;大坑道
359;2;40;lan tang dao
359;3;40;Blue Pool Rd
359;4;40;藍塘道
359;2;41;le huo dao
359;3;41;Broadwood Rd
359;4;41;樂活道
359;2;42;li de cun dao
359;3;42;Lai Tak Tsuen Rd
359;4;42;勵德邨道
359;2;43;jia ning jing
359;3;43;Ka Ning Path
359;4;43;嘉寧徑
359;2;44;mo dun tai
359;3;44;Moreton Ter
359;4;44;摩頓臺
359;2;45;gao shi wei dao
359;3;45;Causeway Rd
359;4;45;高士威道
359;2;52;min guang jie
359;3;52;Man Kwong St
359;4;52;民光街
359;2;53;min xiang jie
359;3;53;Man Cheung St
359;4;53;民祥街
359;2;54;min ji jie
359;3;54;Man Kat St
359;4;54;民吉街
359;2;55;min yao jie
359;3;55;Man Yiu St
359;4;55;民耀街
359;2;56;long he dao
359;3;56;Lung Wo Rd
359;4;56;龍和道
359;2;57;tian hua dao
359;3;57;Tim Wa Ave
359;4;57;添華道
359;2;58;fen yu ma tou jie
359;3;58;Fenwick Pier St
359;4;58;分域碼頭街
359;2;59;long hui dao
359;3;59;Lung Wui Rd
359;4;59;龍匯道
359;2;62;du lao zhi dao
359;3;62;Tonnochy Rd
359;4;62;杜老誌道
359;2;63;hui yi dao
359;3;63;Convention Ave
359;4;63;會議道
359;2;65;gang wan jing
359;3;65;Harbour Dr
359;4;65;港灣徑
359;2;66;xuan ni shi dao
359;3;66;Hennessy Rd
359;4;66;軒尼詩道
359;2;67;luo ke dao
359;3;67;Lockhart Rd
359;4;67;駱克道
359;2;70;wei yuan dao
359;3;70;Victoria Park Rd
359;4;70;維園道
359;2;73;ying huang dao
359;3;73;King's Rd
359;4;73;英皇道
359;2;77;dian qi dao
359;3;77;Electric Rd
359;4;77;電氣道
359;2;78;you jie
359;3;78;Oil St
359;4;78;油街
359;2;79;dian chang jie
359;3;79;Tin Chong St
359;4;79;電廠街
359;2;83;jian kang xi jie
359;3;83;Healthy St W
359;4;83;健康西街
359;2;84;bai fu dao
359;3;84;Pak Fuk Rd
359;4;84;百福道
359;2;85;tian hou miao dao
359;3;85;Tin Hau Temple Rd
359;4;85;天后廟道
359;2;87;yun jing dao
359;3;87;Cloud View Rd
359;4;87;雲景道
359;2;88;yi jing dao
359;3;88;Yee King Rd
359;4;88;怡景道
359;2;89;bao ma shan dao
359;3;89;Braemar Hill Rd
359;4;89;寶馬山道
359;2;90;jian mi di cheng hai pang
359;3;90;Kennedy Town Praya
359;4;90;堅彌地城海旁
359;2;91;yong le jie
359;3;91;Wing Lok St
359;4;91;永樂街
359;2;92;wen hua li
359;3;92;Man Wa Ln
359;4;92;文華里
359;2;93;xi li jie
359;3;93;Hillier St
359;4;93;禧利街
359;2;94;de fu dao zhong
359;3;94;Des Voeux Rd C
359;4;94;德輔道中
359;2;95;lin shi jie
359;3;95;Rumsey St
359;4;95;林士街
359;2;96;zu bi li jie
359;3;96;Jubilee St
359;4;96;租庇利街
359;2;97;bo dian zha jie
359;3;97;Pottinger St
359;4;97;砵典乍街
359;2;100;jin zhong dao
359;3;100;Queensway
359;4;100;金鐘道
359;2;102;ze chen dao
359;3;102;Jackson Rd
359;4;102;昃臣道
359;2;104;lin bao jing
359;3;104;Lambeth Walk
