CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
359;8;12319;;12320
359;8;12320;12319;12321
359;8;12321;12320;12322
359;8;12322;12321;12323
359;8;12323;12322;12324
359;8;12324;12323;12325
359;8;12325;12324;12327
359;8;12327;12325;12328
359;8;12328;12327;12329
359;8;12329;12328;12330
359;8;12330;12329;12331
359;8;12331;12330;12332
359;8;12332;12331;12333
359;8;12333;12332;12334
359;8;12334;12333;12335
359;8;12335;12334;12336
359;8;12336;12335;12337
359;8;12337;12336;12338
359;8;12338;12337;12339
359;8;12339;12338;12340
359;8;12340;12339;12341
359;8;12341;12340;12342
359;8;12342;12341;12343
359;8;12343;12342;
359;8;13637;;13638
359;8;13638;13637;
359;8;13634;;13635
359;8;13635;13634;
359;8;14914;;14915
359;8;14915;14914;14916
359;8;14916;14915;
359;8;13464;;13465
359;8;13465;13464;
359;8;14532;;14533
359;8;14533;14532;
359;8;13914;;13915
359;8;13915;13914;13916
359;8;13916;13915;13917
359;8;13917;13916;13918
359;8;13918;13917;13919
359;8;13919;13918;13920
359;8;13920;13919;13922
359;8;13922;13920;13923
359;8;13923;13922;
359;8;13924;;13925
359;8;13925;13924;13926
359;8;13926;13925;
359;8;14951;;14952
359;8;14952;14951;
359;8;12054;;12055
359;8;12055;12054;12141
359;8;12141;12055;
359;8;12533;;
359;8;12537;;
359;8;12403;;
359;8;12411;;
359;8;12495;;
359;8;12445;;
359;8;12539;;
359;8;15571;;
359;8;12415;;
359;8;12423;;
359;8;12475;;
359;8;12351;;
359;8;12399;;
359;8;12509;;
359;8;12373;;
359;8;12503;;
359;8;12381;;
359;8;12377;;
359;8;12379;;
359;8;12359;;
359;8;12525;;
359;8;12505;;
359;8;12353;;
359;8;12407;;
359;8;12635;;
359;8;12425;;
359;8;15567;;
359;8;12421;;
359;8;12419;;
359;8;12467;;
359;8;12515;;
359;8;12417;;
359;8;12477;;
359;8;12395;;
359;8;12455;;
359;8;12463;;
359;8;12369;;
359;8;14675;;
359;8;12393;;
359;8;12383;;
359;8;12363;;
359;8;12357;;
359;8;12349;;
359;8;12433;;
359;8;12439;;
359;8;12429;;
359;8;12485;;
359;8;12389;;
359;8;12469;;
359;8;12517;;
359;8;12457;;
359;8;12487;;
359;8;12523;;
359;8;12124;;12125
359;8;12125;12124;12126
359;8;12126;12125;12127
359;8;12127;12126;12128
359;8;12128;12127;12129
359;8;12129;12128;12130
359;8;12130;12129;12131
359;8;12131;12130;12132
359;8;12132;12131;12133
359;8;12133;12132;12134
359;8;12134;12133;
359;8;12531;;
359;8;12535;;
359;8;12527;;
359;8;12101;;12102
359;8;12102;12101;12103
359;8;12103;12102;12104
359;8;12104;12103;12105
359;8;12105;12104;12106
359;8;12106;12105;12107
359;8;12107;12106;12108
359;8;12108;12107;12109
359;8;12109;12108;12110
359;8;12110;12109;12111
359;8;12111;12110;
359;8;12989;;
359;8;12991;;
359;8;12302;;12303
359;8;12303;12302;12304
359;8;12304;12303;12305
359;8;12305;12304;12306
359;8;12306;12305;12307
359;8;12307;12306;12308
359;8;12308;12307;12309
359;8;12309;12308;12310
359;8;12310;12309;12311
359;8;12311;12310;12312
359;8;12312;12311;12313
359;8;12313;12312;12314
359;8;12314;12313;12315
359;8;12315;12314;12316
359;8;12316;12315;12317
359;8;12317;12316;
359;8;14535;;14536
359;8;14536;14535;14537
359;8;14537;14536;
359;8;14407;;14408
359;8;14408;14407;
359;8;14485;;14486
359;8;14486;14485;14487
359;8;14487;14486;14488
359;8;14488;14487;14489
359;8;14489;14488;
359;8;14598;;14599
359;8;14599;14598;
359;8;14649;;14650
359;8;14650;14649;14651
359;8;14651;14650;
359;8;14601;;14602
359;8;14602;14601;
359;8;14491;;14492
359;8;14492;14491;14493
359;8;14493;14492;
359;8;14479;;14480
359;8;14480;14479;14481
359;8;14481;14480;14482
359;8;14482;14481;14483
359;8;14483;14482;
359;8;14669;;14670
359;8;14670;14669;15487
359;8;15487;14670;14671
359;8;14671;15487;
359;8;12723;;
359;8;12727;;
359;8;12645;;
359;8;12647;;
359;8;12563;;
359;8;12697;;
359;8;12731;;
359;8;12625;;
