CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
359;8;12319;P;1;12;;244;369;;12052;;;12318;1;1;1;1;1;1;;;+11416359;+2224478;0;1
359;8;12320;P;1;3;;244;370;;12052;;;12318;1;1;1;1;1;1;;;+11416564;+2224557;0;1
359;8;12321;P;1;3;;244;371;;12052;;;12318;1;1;1;1;1;1;;;+11417154;+2224596;0;1
359;8;12322;P;1;3;;244;372;;12052;;;12318;1;1;1;1;1;1;;;+11417605;+2224779;0;1
359;8;12323;P;1;3;;244;373;;12052;;;12318;1;1;1;1;1;1;;;+11417920;+2224720;0;1
359;8;12324;P;1;3;;244;374;;12052;;;12318;1;1;1;1;1;1;;;+11418445;+2227190;0;1
359;8;12325;P;1;1;;244;284;;12052;;;12318;1;1;1;1;1;1;;;+11418525;+2227837;0;1
359;8;12327;P;1;1;;244;251;;12052;;;12318;1;1;1;1;1;1;;;+11418563;+2230407;0;1
359;8;12328;P;1;3;;244;376;;12052;;;12318;1;1;1;1;1;1;;;+11418176;+2230935;0;1
359;8;12329;P;1;3;;244;377;;12052;;;12318;1;1;1;1;1;1;;;+11418222;+2231259;0;1
359;8;12330;P;1;3;;244;378;;12052;;;12318;1;1;1;1;1;1;;;+11418367;+2231520;0;1
359;8;12331;P;1;3;;244;324;;12052;;;12318;1;1;1;1;1;1;;;+11418331;+2232299;0;1
359;8;12332;P;1;3;;244;379;;12052;;;12318;1;1;1;1;1;1;;;+11418353;+2232609;0;1
359;8;12333;P;1;10;;244;380;;12052;;;12318;1;1;1;1;1;1;;;+11418362;+2232763;0;1
359;8;12334;P;1;10;;244;521;;12052;;;12318;1;1;1;1;1;1;;;+11418376;+2232984;0;1
359;8;12335;P;1;10;;244;382;;12052;;;12318;1;1;1;1;1;1;;;+11418383;+2233142;0;1
359;8;12336;P;1;3;;244;383;;12052;;;12318;1;1;1;1;1;1;;;+11418395;+2233331;0;1
359;8;12337;P;1;3;;244;384;;12052;;;12318;1;1;1;1;1;1;;;+11418378;+2233943;0;1
359;8;12338;P;1;1;;244;270;;12052;;;12318;1;1;1;1;1;1;;;+11418663;+2234136;0;1
359;8;12339;P;1;3;;244;385;;12052;;;12318;1;1;1;1;1;1;;;+11418634;+2236160;0;0
359;8;12340;P;1;3;;244;386;;12052;;;12318;1;1;1;1;1;1;;;+11419385;+2236793;0;0
359;8;12341;P;1;3;;244;290;;12052;;;12318;1;1;1;1;1;1;;;+11420438;+2237544;0;0
359;8;12342;P;1;3;;244;387;;12052;;;12318;1;1;1;1;1;1;;;+11420648;+2238167;0;1
359;8;12343;P;1;1;;244;220;;12052;;;12318;1;1;1;1;1;1;;;+11420355;+2238977;0;1
359;8;13637;P;1;3;;495;3302;;12052;;13636;;1;1;1;1;1;1;;;+11418367;+2231520;0;1
359;8;13638;P;1;10;;495;1212;;12052;;13636;;1;1;1;1;1;1;;;+11418307;+2231880;13634;1
359;8;13634;P;1;3;;495;251;;12052;;13633;;1;1;1;1;1;1;;;+11418353;+2230306;13638;1
359;8;13635;P;1;3;;495;244;;12052;;13633;;1;1;1;1;1;1;;;+11418388;+2230623;0;1
359;8;14914;P;1;10;;373;425;;12052;;;14913;1;1;1;1;1;1;;;+11417920;+2224720;0;1
359;8;14915;P;1;3;;373;244;;12052;;;14913;1;1;1;1;1;1;;;+11418113;+2224589;0;1
359;8;14916;P;1;12;;373;191;;12052;;;14913;1;1;1;1;1;1;;;+11418387;+2224287;0;1
359;8;13464;P;1;10;;386;295;;12052;;;13463;1;1;1;1;1;1;;;+11419312;+2237230;0;1
359;8;13465;P;1;10;;386;246;;12052;;;13463;1;1;1;1;1;1;;;+11419111;+2237585;0;1
359;8;14532;P;1;3;;639;244;;12052;;;14531;1;1;1;1;1;1;;;+11418471;+2227898;0;1
359;8;14533;P;1;3;;639;648;;12052;;;14531;1;1;1;1;1;1;;;+11418825;+2227927;0;1
359;8;13914;P;1;10;;269;807;;12052;;13911;;1;1;1;1;1;1;;;+11417194;+2230964;0;1
