CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
359;8;12318;L;1;1;1;244;369;220;12052;
359;8;15610;L;1;4;1;495;3302;244;12052;
359;8;14913;L;1;4;1;373;425;191;12052;
359;8;13463;L;1;4;1;386;295;246;12052;
359;8;14531;L;1;4;1;639;244;648;12052;
359;8;13910;L;1;4;1;269;807;384;12052;
359;8;14950;L;1;4;1;369;200;244;12052;
359;8;12053;L;1;1;10;219;220;1577;12052;
359;8;12532;L;7;0;;;244;241;12052;
359;8;12536;L;7;0;;;244;559;12052;
359;8;12402;L;7;0;;;244;284;12052;
359;8;12410;L;7;0;;;244;459;12052;
359;8;12494;L;7;0;;;244;527;12052;
359;8;12444;L;7;0;;;244;488;12052;
359;8;12538;L;7;0;;;244;291;12052;
359;8;15570;L;7;0;;;244;3297;12052;
359;8;12414;L;7;0;;;244;463;12052;
359;8;12422;L;7;0;;;244;471;12052;
359;8;12474;L;7;0;;;244;511;12052;
359;8;12350;L;7;0;;;244;392;12052;
359;8;12398;L;7;0;;;395;284;12052;
359;8;12508;L;7;0;;;395;295;12052;
359;8;12372;L;7;0;;;395;372;12052;
359;8;12502;L;7;0;;;395;385;12052;
359;8;12380;L;7;0;;;395;373;12052;
359;8;12376;L;7;0;;;395;425;12052;
359;8;12378;L;7;0;;;395;428;12052;
359;8;12358;L;7;0;;;395;371;12052;
359;8;12524;L;7;0;;;395;545;12052;
359;8;12504;L;7;0;;;395;537;12052;
359;8;12352;L;7;0;;;395;392;12052;
359;8;12406;L;7;0;;;435;451;12052;
359;8;12634;L;7;0;;;435;451;12052;
359;8;12424;L;7;0;;;435;473;12052;
359;8;15566;L;7;0;;;435;1288;12052;
359;8;12420;L;7;0;;;435;469;12052;
359;8;12418;L;7;0;;;435;463;12052;
359;8;12466;L;7;0;;;435;378;12052;
359;8;12514;L;7;0;;;435;290;12052;
359;8;12416;L;7;0;;;435;468;12052;
359;8;12476;L;7;0;;;435;324;12052;
359;8;12394;L;7;0;;;435;446;12052;
359;8;12454;L;7;0;;;435;498;12052;
359;8;12462;L;7;0;;;435;377;12052;
359;8;12368;L;7;0;;;1592;372;12052;
359;8;14674;L;7;0;;;1592;385;12052;
359;8;12392;L;7;0;;;1592;441;12052;
359;8;12382;L;7;0;;;1592;431;12052;
359;8;12362;L;7;0;;;1592;371;12052;
359;8;12356;L;7;0;;;1592;398;12052;
359;8;12348;L;7;0;;;1592;392;12052;
359;8;12432;L;7;0;;;437;435;12052;
359;8;12438;L;7;0;;;437;479;12052;
359;8;12428;L;7;0;;;437;476;12052;
359;8;12484;L;7;0;;;437;521;12052;
359;8;12388;L;7;0;;;437;438;12052;
359;8;12468;L;7;0;;;437;378;12052;
359;8;12516;L;7;0;;;437;290;12052;
359;8;12456;L;7;0;;;437;376;12052;
359;8;12486;L;7;0;;;437;382;12052;
359;8;12522;L;7;0;;;437;548;12052;
359;8;12123;L;1;1;2;241;284;220;12052;
