CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;ROA_LCD;SEG_LCD;POL_LCD
359;8;13636;L;3;0;1;495;3302;1212;15610;;12052
359;8;13633;L;3;0;1;495;251;244;15610;;12052
359;8;13911;L;3;0;1;269;807;379;13910;;12052
359;8;13913;L;3;0;1;269;383;384;13910;;12052
359;8;12057;L;3;0;;222;227;238;12056;;12052
359;8;12058;L;3;0;;223;238;247;12056;;12052
359;8;12059;L;3;0;;226;247;255;12056;;12052
359;8;12060;L;3;0;;225;255;227;12056;;12052
359;8;13947;L;3;0;;1217;820;1218;13946;;12052
359;8;13948;L;3;0;;1217;3331;1231;13946;;12052
359;8;15344;L;3;0;;1484;1483;1474;15364;;12052
359;8;15365;L;3;0;;1484;1488;1476;15364;;12052
359;8;13654;L;3;0;;1216;807;1218;13653;;12052
359;8;13655;L;3;0;;1216;1516;269;13653;;12052
359;8;13718;L;3;0;;1253;1235;323;13717;;12052
359;8;13719;L;3;0;;1253;1254;842;13717;;12052
359;8;13699;L;3;0;;1241;1244;823;13698;;12052
359;8;13700;L;3;0;;1241;1246;1240;13698;;12052
359;8;13701;L;3;0;;1241;1249;337;13698;;12052
359;8;13711;L;3;0;;1241;1517;336;13698;;12052
359;8;13522;L;3;0;;1193;468;807;13521;;12052
359;8;13523;L;3;0;;1193;326;1198;13521;;12052
359;8;15513;L;3;0;;323;322;840;15611;;12052
359;8;13776;L;3;0;;323;1235;1218;15611;;12052
359;8;14041;L;3;0;;1302;328;1303;14040;;12052
359;8;14042;L;3;0;;1302;1304;1270;14040;;12052
359;8;15085;L;3;0;;1406;287;1414;15084;;12052
359;8;15086;L;3;0;;1406;286;350;15084;;12052
359;8;13990;L;3;0;;838;842;252;15612;;12052
359;8;13993;L;3;0;;838;902;336;15612;;12052
359;8;14312;L;3;0;;1351;1348;342;14311;;12052
359;8;14313;L;3;0;;1351;1367;1364;14311;;12052
359;8;13604;L;3;0;;815;807;1218;13603;;12052
359;8;13605;L;3;0;;815;1223;1225;13603;;12052
359;8;14370;L;3;0;;1376;344;1385;14379;;12052
359;8;14380;L;3;0;;1376;1386;1387;14379;;12052
359;8;15614;L;3;0;;379;269;3327;15613;;12052
359;8;14154;L;3;0;;379;1330;380;15613;;12052
