CID;TABCD;LCD;NEG_OFF_LCD;POS_OFF_LCD
359;8;13636;;13633
359;8;13633;13636;
359;8;13911;;13913
359;8;13913;13911;
359;8;12057;12060;12058
359;8;12058;12057;12059
359;8;12059;12058;12060
359;8;12060;12059;12057
359;8;13947;;13948
359;8;13948;13947;
359;8;15344;;15365
359;8;15365;15344;
359;8;13654;;13655
359;8;13655;13654;
359;8;13718;;13719
359;8;13719;13718;
359;8;13699;;13700
359;8;13700;13699;13701
359;8;13701;13700;13711
359;8;13711;13701;
359;8;13522;;13523
359;8;13523;13522;
359;8;15513;;13776
359;8;13776;15513;
359;8;14041;;14042
359;8;14042;14041;
359;8;15085;;15086
359;8;15086;15085;
359;8;13990;;13993
359;8;13993;13990;
359;8;14312;;14313
359;8;14313;14312;
359;8;13604;;13605
359;8;13605;13604;
359;8;14370;;14380
359;8;14380;14370;
359;8;15614;;14154
359;8;14154;15614;
